,Argument,p_total,p_value_overall,z_stat_overall,success_count,unsuccess_count,success_reports,unsuccess_reports,p_value_reports,z_stat_reports,success_opinion_score,unsuccess_opinion_score
26,Corporate Lending,0.3783542951428074,0.11113978039462513,-1.593090989600721,0.0,2.0,0.0,2.0,0.11113978039462513,-1.593090989600721,0.0,0.0
27,Corporate Social Responsibility,0.586865340150498,0.2092818817519836,1.255542522548765,2.0,0.0,2.0,0.0,0.2092818817519836,1.255542522548765,1.0,0.0
28,Cost Management,0.49530427954514855,0.47154174750690936,-0.7199727924058145,396.0,329.0,185.0,157.0,0.4915752502350559,-0.6878055347832981,0.12879999999999997,0.06990000000000002
29,Cost of IBL,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,-1.0,0.0
30,Credit,0.17078423352873426,0.0510359691615072,-1.9511772088999588,0.0,3.0,0.0,3.0,0.0510359691615072,-1.9511772088999588,0.0,0.3333
31,Credit Quality,0.9971899526536635,0.8042281442771413,-0.24787885037095395,9.0,8.0,6.0,4.0,0.7951465722263715,0.25963339726144286,0.0,0.25
32,Credit Risk,0.03857991776089753,0.01176616520126451,-2.5190808018012687,0.0,5.0,0.0,4.0,0.024254113613854534,-2.2530798675463513,0.0,0.0
33,Cross-border Transactions,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,1.0
34,Crypto Demand Impact,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,0.0,0.0
35,Crypto Volatility,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,0.0,0.0
36,Cryptocurrency,0.17078423352873426,0.0510359691615072,-1.9511772088999588,0.0,3.0,0.0,2.0,0.11113978039462513,-1.593090989600721,0.0,0.3334
37,Cryptocurrency Impact,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,0.0,0.0
38,Culture,0.586865340150498,0.2092818817519836,1.255542522548765,2.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,0.0,0.0
39,Currency,0.7684065119674884,0.688961155814146,-0.40026525546115643,49.0,42.0,38.0,30.0,0.9943729904046571,-0.007052469138037301,-0.8572000000000001,-0.7381
40,Customer,0.6705850377488795,0.636756292670955,0.47223887755398913,269.0,203.0,131.0,96.0,0.5860705311242445,0.5445391269169941,0.6654,0.7192
41,Customer Relationship,0.17078423352873426,0.0510359691615072,-1.9511772088999588,0.0,3.0,0.0,3.0,0.0510359691615072,-1.9511772088999588,0.0,1.0
42,Customer Remediation,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,-1.0,-1.0
43,Customer Spending,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,-1.0,0.0
44,Cybersecurity,1.0,0.7078251547775698,0.37477856792932696,2.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,1.0,-1.0
45,Data Analytics,1.0,0.7356665570678111,-0.3375974593065578,4.0,4.0,4.0,4.0,0.7356665570678111,-0.3375974593065578,1.0,1.0
46,Data Protection,0.14900444463744175,0.07198898405125542,1.7991877657819275,7.0,1.0,5.0,1.0,0.17622672913494264,1.3524646211627034,0.14280000000000004,-1.0
47,Debt,1.0,0.9878767299128435,0.015194850477140025,56.0,44.0,33.0,28.0,0.7735464260045583,-0.2877391413654203,-0.7143,-0.7273000000000001
48,Debt Underwriting,0.6558605317524089,0.4086077054485443,0.8263462483555113,5.0,2.0,3.0,2.0,0.8543536783130901,0.18356633084820112,0.6000000000000001,0.0
49,Demand,0.5427804382943324,0.4702096438479021,-0.7221379892445551,41.0,38.0,29.0,30.0,0.2940653084044228,-1.049245139034275,0.12190000000000001,0.1053
50,Demographics,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
51,Deposit Costs,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,-1.0,0.0
52,Deposit Growth,0.45791120477638503,0.21280584234581035,-1.2458871117436106,1.0,3.0,1.0,2.0,0.430580126538477,-0.788199320485316,1.0,0.6667
53,Deposits,0.24290470247102436,0.10561984234932809,-1.6181984242514453,1.0,4.0,1.0,4.0,0.10561984234932809,-1.6181984242514453,-1.0,0.25
54,Depreciation,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,0.0
55,Digital Platforms,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,1.0
56,Discount Rate,0.3389370990251595,0.12410817394515276,1.53775645634397,3.0,0.0,3.0,0.0,0.12410817394515276,1.53775645634397,0.0,0.0
57,Diversification,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,0.0,1.0
58,Divestment,1.0,0.9821980285159225,-0.022313313968404788,5.0,4.0,5.0,4.0,0.9821980285159225,-0.022313313968404788,0.6000000000000001,1.0
59,Dividend Policy,0.6836811313332213,0.6295028703143528,0.482426682281183,105.0,77.0,56.0,41.0,0.7193334178019941,0.35934980800837246,0.3429,0.4675
60,Dividend Yield,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0
61,E-commerce,0.00012431305980065315,8.84519515043141e-05,3.9202641828018803,107.0,42.0,61.0,31.0,0.0444568620014835,2.0097574899770616,0.5795,0.5
62,EBIT,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,1.0
63,EBITDA Multiple,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,0.0,0.0
64,Earnings,0.14402426511006342,0.13064341070123103,-1.5115695194271794,211.0,193.0,139.0,124.0,0.31237930965838845,-1.0102421081915955,0.27480000000000004,0.3212
65,Earnings Call Focus,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,0.0,0.0
66,Earnings Catalysts,0.20333944644257293,0.07578383594948544,1.775691155664611,4.0,0.0,3.0,0.0,0.12410817394515276,1.53775645634397,1.0,0.0
67,Earnings Forecast,0.3926936697905268,0.3602896988784894,0.9148132095912204,167.0,118.0,110.0,88.0,0.9162642597866836,-0.10514057970174068,-0.059799999999999964,0.033899999999999986
68,Earnings Risk,0.791084940665657,0.44219114094623535,0.7684983998618706,3.0,1.0,3.0,1.0,0.44219114094623535,0.7684983998618706,-0.6667,-1.0
69,Earnings Visibility,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
70,Earnings per Share,0.05187586437837268,0.04652723452729878,1.9905786031880728,291.0,191.0,146.0,106.0,0.5175003036530101,0.647203411544557,0.5155,0.5445
71,Economic Conditions,0.32398358838270147,0.2880864536278124,-1.0623287794562268,92.0,85.0,61.0,52.0,0.6766489089766269,-0.41704032984430256,-0.3587,-0.12940000000000002
72,Economic Recovery,0.586865340150498,0.2092818817519836,1.255542522548765,2.0,0.0,2.0,0.0,0.2092818817519836,1.255542522548765,0.5,0.0
73,Efficacy,0.0001554756187192828,7.303997872349929e-05,-3.966159551534908,6.0,24.0,3.0,8.0,0.05554938046729032,-1.9145542021823592,-0.1666,0.9167
74,Employees,0.8016378103594559,0.7349780495417912,-0.3385111188248545,73.0,61.0,52.0,47.0,0.4946529359937848,-0.6829270567358703,-0.10959999999999998,0.08189999999999997
75,Energy Impact,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
76,Energy Sector,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
77,Engagement,1.0,0.8543536783130901,0.18356633084820112,3.0,2.0,2.0,2.0,0.8113425935802514,-0.23869435594087016,-1.0,0.0
78,Engineering Talent,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,-1.0
79,Entrepreneurs,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
80,Equity,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,-1.0
81,Equity Underwriting,0.905393575587103,0.5960735240199216,0.5300553950242393,4.0,2.0,2.0,2.0,0.8113425935802514,-0.23869435594087016,1.0,0.0
82,Execution,0.787898360885765,0.61249253691382,-0.5065187407365053,9.0,9.0,9.0,9.0,0.61249253691382,-0.5065187407365053,-0.3334,-0.3334
83,Execution Risk,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,-1.0,-1.0
84,Executive Changes,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,0.0,0.0
85,Executive Compensation,0.2813876745646633,0.14486315115398693,-1.4579179832499816,2.0,5.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,1.0,0.19999999999999996
86,Expense,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,0.0,0.0
87,Exploration,0.4817077981910497,0.26495197126792813,-1.1147630572526892,2.0,4.0,1.0,2.0,0.430580126538477,-0.788199320485316,1.0,1.0
88,FICC,0.586865340150498,0.2092818817519836,1.255542522548765,2.0,0.0,2.0,0.0,0.2092818817519836,1.255542522548765,0.0,0.0
89,Fashion Trends,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,-1.0,-1.0
90,Fee Income,0.3783542951428074,0.11113978039462513,-1.593090989600721,0.0,2.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,0.0
91,Fees,0.8362360533224751,0.430580126538477,-0.788199320485316,1.0,2.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,0.0,0.0
92,Fees and Costs,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,0.0
93,Financial Impact,0.791084940665657,0.44219114094623535,0.7684983998618706,3.0,1.0,2.0,1.0,0.7078251547775698,0.37477856792932696,0.3334,0.0
94,Financial Performance,0.43659737452381786,0.41039781417068655,-0.8231937646392703,275.0,233.0,150.0,134.0,0.288127397789684,-1.062238561914506,0.38180000000000003,0.3047
95,Financial Position,0.791084940665657,0.44219114094623535,0.7684983998618706,3.0,1.0,3.0,1.0,0.44219114094623535,0.7684983998618706,1.0,1.0
96,Financial Risk,0.586865340150498,0.2092818817519836,1.255542522548765,2.0,0.0,2.0,0.0,0.2092818817519836,1.255542522548765,-1.0,0.0
97,Financial Services,0.586865340150498,0.2092818817519836,1.255542522548765,2.0,0.0,2.0,0.0,0.2092818817519836,1.255542522548765,1.0,0.0
98,Flexibility,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
99,Fundamentals,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
100,GPU Market,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,0.0,0.0
101,GPU Pricing,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,0.0,0.0
102,GPU Supply Outlook,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,0.0,0.0
103,Gaming Demand,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
104,General Economic Trends,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,-1.0,-1.0
105,Geographic Expansion,0.7895655152464529,0.4731791081125801,-0.7173160467016222,2.0,3.0,2.0,2.0,0.8113425935802514,-0.23869435594087016,0.0,1.0
106,Geopolitical Risk,0.7888448230607457,0.6327058917676593,0.47792176191769936,14.0,9.0,14.0,9.0,0.6327058917676593,0.47792176191769936,-0.9286,-0.8889
107,Global Presence,0.21682014693272827,0.17112274413045792,1.3686051154407108,37.0,20.0,33.0,20.0,0.35197019103661276,0.9307745616784721,0.7838,-0.15000000000000002
108,Government Policies,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
109,Growth,0.003158260706424746,0.0029481545198189255,2.9730926429431976,1513.0,1067.0,330.0,280.0,0.356385402798183,-0.9222745168558004,0.7257,0.7451000000000001
110,Guidance,0.81785911131995,0.7047227813902524,0.3789529790883002,27.0,19.0,27.0,16.0,0.3639865629842881,0.9077949575626613,0.11110000000000003,0.3157
111,HELOC Utilization,0.586865340150498,0.2092818817519836,1.255542522548765,2.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,-0.5,0.0
112,Health Impact,0.4878525959393408,0.2937828518867449,-1.0498592010027195,3.0,5.0,3.0,5.0,0.2937828518867449,-1.0498592010027195,-0.6667,0.0
113,Holiday Sales,0.45791120477638503,0.21280584234581035,-1.2458871117436106,1.0,3.0,1.0,2.0,0.430580126538477,-0.788199320485316,1.0,0.6667
114,IT Systems,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,1.0
115,Industrial Recovery,0.586865340150498,0.2092818817519836,1.255542522548765,2.0,0.0,2.0,0.0,0.2092818817519836,1.255542522548765,1.0,0.0
116,Industry Outlook,0.785328427804548,0.7044174007205881,-0.37936424133472185,48.0,41.0,38.0,27.0,0.6799017210883052,0.4125972436050505,0.5,0.6829
117,Innovation,0.6253692318762138,0.5898150728583077,0.5391040331301494,229.0,171.0,96.0,84.0,0.481837428397233,-0.7033503686337151,0.821,0.9065
118,Innovations,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,1.0
119,Insurance,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
120,Integration,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,1.0
121,Interest Expense,0.8362360533224751,0.430580126538477,-0.788199320485316,1.0,2.0,1.0,2.0,0.430580126538477,-0.788199320485316,-1.0,-0.5
122,Inventory Management,0.19349795002376638,0.16213915824953373,1.3979131202088733,67.0,40.0,39.0,30.0,0.9203037273114879,0.10005113739480205,0.044800000000000006,0.024999999999999967
123,Investment Banking,0.5534701025493618,0.4134310509712812,0.8178706500008586,13.0,7.0,5.0,5.0,0.7058290376078233,-0.3774636976563819,1.0,0.0
124,Investments,0.06763543341580038,0.062193779438255894,-1.8649117195754679,394.0,355.0,181.0,170.0,0.09719875954008093,-1.6585884064858518,0.4797,0.5239
125,Investor Confidence,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,-1.0
126,LNG Pricing,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
127,Leadership,0.47644883265277094,0.4324263513276785,-0.7850464220090161,102.0,90.0,51.0,54.0,0.12812386593828054,-1.521542055578187,0.46080000000000004,0.3777
128,Leverage,0.26775208147005514,0.18738152045121792,1.3183649130476465,16.0,7.0,16.0,7.0,0.18738152045121792,1.3183649130476465,-0.125,-0.1429
129,Licensing Revenue,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,-1.0
130,Litigation,0.004647334187722264,0.0014393360580120243,-3.1866444260912052,0.0,8.0,0.0,6.0,0.00578754474372341,-2.7595815095296174,0.0,-1.0
131,Litigation Concerns,0.586865340150498,0.2092818817519836,1.255542522548765,2.0,0.0,2.0,0.0,0.2092818817519836,1.255542522548765,-1.0,0.0
132,Litigation and Regulation,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,-1.0
133,Loan Demand,0.07778768380050159,0.029639571221701546,2.174873847301168,6.0,0.0,3.0,0.0,0.12410817394515276,1.53775645634397,-0.8333,0.0
134,Loan Loss Reserves,0.21275376325965528,0.12715068453248582,1.5254347993092825,10.0,3.0,7.0,2.0,0.18657713219948224,1.320772798435481,0.3,-1.0
135,Loan Portfolio,0.8925110951763277,0.7698542827754906,-0.2925655060805665,22.0,19.0,5.0,6.0,0.4841594541792039,-0.6996283160679586,-0.31820000000000004,-0.31579999999999997
136,Loan Syndication,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,-1.0,-1.0
137,Logistics Costs,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,-1.0,0.0
138,Long-term Growth,0.5846858202674035,0.49715241684024924,0.6789770290318973,35.0,23.0,32.0,18.0,0.24952255331582462,1.1515098305737594,0.7714,0.913
139,Manufacturing,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,-1.0
140,Margin Compression,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,-1.0
141,Margins,0.4125963754790867,0.39584353126958505,0.849067863459344,696.0,523.0,257.0,214.0,0.5475860835792651,-0.6013812508836407,0.19539999999999996,0.2811
142,Market Cap,0.026088683837543855,0.015720474477294393,2.415341229709411,22.0,6.0,22.0,6.0,0.015720474477294393,2.415341229709411,0.27270000000000005,0.1666
143,Market Conditions,0.14979327643280868,0.140438752863087,-1.4741591232828235,495.0,429.0,224.0,204.0,0.13079878748638477,-1.5109594306221679,-0.07269999999999999,-0.17719999999999997
144,Market Data,0.3389370990251595,0.12410817394515276,1.53775645634397,3.0,0.0,3.0,0.0,0.12410817394515276,1.53775645634397,0.6667,0.0
145,Market Expansion,0.6218462413994703,0.5904551414794827,0.5381765881599463,294.0,221.0,150.0,122.0,0.79482178429515,-0.26005443532421363,0.7926,0.8009
146,Market Expectations,1.0,0.9265666492473864,-0.09216537301075806,6.0,5.0,6.0,5.0,0.9265666492473864,-0.09216537301075806,0.0,-0.39999999999999997
147,Market Performance,0.012649711718091648,0.006762693743164722,-2.7083094324720474,6.0,16.0,4.0,13.0,0.0071142468508136195,-2.6914485606168963,0.0,0.125
148,Market Share,0.33165305958640656,0.31591240934865994,1.0028931679876723,595.0,441.0,226.0,190.0,0.5072569605908572,-0.663114912442587,0.6437,0.6598999999999999
149,Marketing,0.7270285861466239,0.6779277860761974,0.41529250664304773,134.0,100.0,73.0,59.0,0.8852367698747226,-0.14433395111014036,0.5971000000000001,0.31999999999999995
150,Marketplace,0.21275376325965528,0.12715068453248582,1.5254347993092825,10.0,3.0,6.0,3.0,0.5161898900721262,0.6492297422335385,0.7000000000000001,0.3334
151,Mergers and Acquisition,0.5582999639311679,0.5172215815344081,-0.647634184946422,143.0,122.0,81.0,61.0,0.7878151092093506,0.2691488900399762,0.4406,0.32789999999999997
152,Mergers and Acquisition Advisory,1.0,0.7078251547775698,0.37477856792932696,2.0,1.0,2.0,1.0,0.7078251547775698,0.37477856792932696,0.0,-1.0
153,Mortgage Production,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
154,Natural Gas,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,-1.0,-1.0
155,Net Cash,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,1.0
156,Net Charge-offs,0.586865340150498,0.2092818817519836,1.255542522548765,2.0,0.0,2.0,0.0,0.2092818817519836,1.255542522548765,-1.0,0.0
157,Oil & Gas Industry,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
158,Oil Prices,0.15041228393834624,0.08776157828629337,1.7073254500377328,11.0,3.0,9.0,3.0,0.18307850720624386,1.331335910462457,-0.09090000000000004,-0.3334
159,Operating Leverage,0.22887989805664677,0.16340781275090288,-1.393701335616258,12.0,16.0,10.0,12.0,0.32232698732388965,-0.9896872940298759,0.16660000000000003,0.4375
160,Operating Margin Return on Inventory,1.0,0.8659742262238241,-0.16877423352597806,1.0,1.0,1.0,1.0,0.8659742262238241,-0.16877423352597806,-1.0,-1.0
161,Operating Metrics,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
162,Operating Performance,0.20333944644257293,0.07578383594948544,1.775691155664611,4.0,0.0,3.0,0.0,0.12410817394515276,1.53775645634397,0.5,0.0
163,Operational Issues,0.2274102110878698,0.11233888715866251,1.587767658890676,6.0,1.0,5.0,1.0,0.17622672913494264,1.3524646211627034,-1.0,-1.0
164,Operational Performance,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
165,Operations,0.02645939329530789,0.018951797660864543,-2.346477751006593,26.0,37.0,26.0,25.0,0.4764127031272217,-0.7120840942197804,0.5385,0.35140000000000005
166,Organizational Structure,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
167,Partnerships and Collaborations,0.48758052458374423,0.43843183646288175,-0.7748440161135051,83.0,74.0,37.0,28.0,0.8710113340570279,0.16237401277238617,0.9036,0.8783
168,Pension Obligations,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,1.0
169,Performance,0.1597270729034283,0.07804886559008542,-1.7621209426988813,2.0,6.0,2.0,5.0,0.14486315115398693,-1.4579179832499816,0.0,0.5
170,Pipeline,0.45791120477638503,0.21280584234581035,-1.2458871117436106,1.0,3.0,1.0,3.0,0.21280584234581035,-1.2458871117436106,1.0,-1.0
171,Price Shock Absorber,1.0,0.3746584784795426,0.887781161064176,1.0,0.0,1.0,0.0,0.3746584784795426,0.887781161064176,1.0,0.0
172,Price/Earnings Ratio,0.07337067471773767,0.05726487207531829,1.9012836299916622,55.0,28.0,43.0,22.0,0.09616971757635943,1.6637133977683722,0.25450000000000006,0.17859999999999998
173,Price/Mix Strategy,0.6005876971691253,0.4861701190188733,-0.6964131677653663,17.0,17.0,11.0,7.0,0.657481200270052,0.4433934119590033,0.41169999999999995,0.5294
174,Pricing Strategy,0.06619834485798398,0.04889544909309922,-1.9695022095945793,25.0,33.0,20.0,24.0,0.16140098932616553,-1.4003752105502947,0.52,0.5455
175,Process Optimization,0.9050071679040325,0.2599716245249275,-1.126458198769348,0.0,1.0,0.0,1.0,0.2599716245249275,-1.126458198769348,0.0,1.0
