argument_list,Automobile,Beauty,Clothing,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Food,Healthcare,Industrials,Materials,Retail,Technology,Travel
Stock Price,4,1,6,1,4,4,5,9,2,9,4,2,1,3,4
Stock Recommendation,2,3,7,6,5,1,1,2,5,9,2,2,3,9,4
Stock Specific Level,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Stock-Based Compensation,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0
Store Expansion,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Strength,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Subscriber Growth,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Subscription Growth,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Succession Planning,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Supplier Relations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Supply Chain,26,12,48,2,19,24,2,0,11,7,17,4,15,25,0
Sustainability,4,2,1,0,2,10,20,0,3,0,0,1,0,0,1
Synergies,1,5,0,1,1,0,0,2,0,6,0,1,1,3,0
Tax Issues,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tax Settlement,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Taxes,0,4,6,6,15,4,2,34,11,19,10,5,2,12,0
Tech Spending,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Technology Trends,82,3,21,59,27,13,10,82,55,6,5,3,2,261,8
Trading,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Traffic,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Training,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Transaction Closure,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Transaction Fees,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Transition,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Transparency,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Travel Industry,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Truckload Carriers Rates,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Truckload Rates,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trust,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
UNP Stock Consensus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UPS Attention,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Underwriting,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vaccine Development,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Valuation,21,22,39,21,41,26,18,26,37,48,12,17,13,41,32
Value Creation,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0
Value Investing,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
Value Unlocking,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Visibility,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0
Volume,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Volume Growth,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Volume Leverage,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Workflow Integration,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
XPO Interest,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Yield,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
