,Argument,odds_ratio_total_counts,p_value_arguments,success_count,unsuccess_count,success_reports,unsuccess_reports,p_value_unique_reports,odds_ratio_unique_reports
20,Competitors,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
21,Consumer Pressure,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
22,Consumer Spending,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
23,Consumer Trends,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
24,Content Spend,0.0,0.08560607283649896,0.0,3.0,0.0,2.0,0.2101504914004914,0.0
25,Corporate Governance,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
26,Corporate Lending,0.0,0.19425089999141473,0.0,2.0,0.0,2.0,0.2101504914004914,0.0
27,Corporate Social Responsibility,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
28,Cost Management,0.9467931320654676,0.4931325079963761,396.0,329.0,185.0,157.0,1.0,0.99798518133368
29,Cost of IBL,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
30,Credit,0.0,0.08560607283649896,0.0,3.0,0.0,3.0,0.09609445546945548,0.0
31,Credit Quality,0.8865436212567076,0.8118758029789701,9.0,8.0,6.0,4.0,0.760533379091074,1.276
32,Credit Risk,0.0,0.01662293292335039,0.0,5.0,0.0,4.0,0.043866227889052437,0.0
33,Cross-border Transactions,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
34,Crypto Demand Impact,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
35,Crypto Volatility,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
36,Cryptocurrency,0.0,0.08560607283649896,0.0,3.0,0.0,2.0,0.2101504914004914,0.0
37,Cryptocurrency Impact,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
38,Culture,inf,0.506996673265863,2.0,0.0,1.0,0.0,1.0,inf
39,Currency,0.9191274390596954,0.7511295684705928,49.0,42.0,38.0,30.0,0.7988184425306923,1.0820213799805636
40,Customer,1.045408826867398,0.673034031339021,269.0,203.0,131.0,96.0,0.19617081874894415,1.2390416666666666
41,Customer Relationship,0.0,0.08560607283649896,0.0,3.0,0.0,3.0,0.09609445546945548,0.0
42,Customer Remediation,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
43,Customer Spending,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
44,Cybersecurity,1.5763342271429808,1.0,2.0,1.0,1.0,1.0,1.0,0.8473684210526315
45,Data Analytics,0.7880439484384463,0.7376614213532602,4.0,4.0,4.0,4.0,1.0,0.8461538461538461
46,Data Protection,5.519556940117687,0.08572161894787433,7.0,1.0,5.0,1.0,0.2263108399178958,4.281914893617022
47,Debt,1.003073228153614,1.0,56.0,44.0,33.0,28.0,1.0,0.9990763546798029
48,Debt Underwriting,1.970712926111784,0.47576740233140813,5.0,2.0,3.0,2.0,1.0,1.2738095238095237
49,Demand,0.8498044930065138,0.49680282422414335,41.0,38.0,29.0,30.0,0.4952966708677571,0.8046401515151516
50,Demographics,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
51,Deposit Costs,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
52,Deposit Growth,0.2626419881220089,0.32704684935976347,1.0,3.0,1.0,2.0,0.5961991274491275,0.42236842105263156
53,Deposits,0.19695986853485556,0.17681227591394838,1.0,4.0,1.0,4.0,0.18523621374459465,0.20986842105263157
54,Depreciation,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
55,Digital Platforms,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
56,Discount Rate,inf,0.26049500989879437,3.0,0.0,3.0,0.0,0.2540310196560197,inf
57,Diversification,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
58,Divestment,0.9851401626578993,1.0,5.0,4.0,5.0,4.0,1.0,1.0605053191489362
59,Dividend Policy,1.075389961757565,0.6533130081005596,105.0,77.0,56.0,41.0,0.5104910173188458,1.185140712945591
60,Dividend Yield,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
61,E-commerce,2.017235717611067,8.732199953701076e-05,107.0,42.0,61.0,31.0,0.01339390818752937,1.7955645161290323
62,EBIT,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
63,EBITDA Multiple,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
64,Earnings,0.8590483701942914,0.14216151563116658,211.0,193.0,139.0,124.0,0.6391745379139271,0.9217875233271128
65,Earnings Call Focus,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
66,Earnings Catalysts,inf,0.13551915232335124,4.0,0.0,3.0,0.0,0.2540310196560197,inf
67,Earnings Forecast,1.117077208178903,0.3682058637240436,167.0,118.0,110.0,88.0,0.6742659629747478,1.0839483394833949
68,Earnings Risk,2.364705882352941,0.6354225826251237,3.0,1.0,3.0,1.0,0.6290331498962027,2.5555555555555554
69,Earnings Visibility,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
70,Earnings per Share,1.2059265603692046,0.051128900577776276,291.0,191.0,146.0,106.0,0.13455405241447765,1.2718586912886392
71,Economic Conditions,0.8518422415605593,0.2883980131467449,92.0,85.0,61.0,52.0,1.0,0.9934495192307692
72,Economic Recovery,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
73,Efficacy,0.1966124426754348,7.119574991173202e-05,6.0,24.0,3.0,8.0,0.12372084726201182,0.3125
74,Employees,0.9427955884660931,0.7935474657474981,73.0,61.0,52.0,47.0,0.7451904361804315,0.9281510702968376
75,Energy Impact,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
76,Energy Sector,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
77,Engagement,1.1822231833910035,1.0,3.0,2.0,2.0,2.0,1.0,0.8469656992084432
78,Engineering Talent,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
79,Entrepreneurs,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
80,Equity,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
81,Equity Underwriting,1.5764339475733196,0.7004385156179476,4.0,2.0,2.0,2.0,1.0,0.8469656992084432
82,Execution,0.7879522243378917,0.6412772422117139,9.0,9.0,9.0,9.0,0.8124454840221278,0.8440860215053764
83,Execution Risk,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
84,Executive Changes,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
85,Executive Compensation,0.31512844909609894,0.2525917321779072,2.0,5.0,1.0,1.0,1.0,0.8473684210526315
86,Expense,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
87,Exploration,0.3939538102240291,0.41537671454315944,2.0,4.0,1.0,2.0,0.5961991274491275,0.42236842105263156
88,FICC,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
89,Fashion Trends,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
90,Fee Income,0.0,0.19425089999141473,0.0,2.0,0.0,1.0,0.4588068181818182,0.0
91,Fees,0.3940062272963155,0.5864294913635416,1.0,2.0,1.0,1.0,1.0,0.8473684210526315
92,Fees and Costs,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
93,Financial Impact,2.364705882352941,0.6354225826251237,3.0,1.0,2.0,1.0,1.0,1.6992084432717678
94,Financial Performance,0.9284803946916168,0.4157076134602231,275.0,233.0,150.0,134.0,0.5898854342233337,0.9158751696065129
95,Financial Position,2.364705882352941,0.6354225826251237,3.0,1.0,3.0,1.0,0.6290331498962027,2.5555555555555554
96,Financial Risk,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
97,Financial Services,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
98,Flexibility,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
99,Fundamentals,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
100,GPU Market,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
101,GPU Pricing,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
102,GPU Supply Outlook,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
103,Gaming Demand,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
104,General Economic Trends,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
105,Geographic Expansion,0.5253294121039126,0.6601780570924483,2.0,3.0,2.0,2.0,1.0,0.8469656992084432
106,Geopolitical Risk,1.2262341135836676,0.6798495995671436,14.0,9.0,14.0,9.0,0.5327012951276736,1.3309112927641538
107,Global Presence,1.459487246225924,0.18360594714833836,37.0,20.0,33.0,20.0,0.2521307239498439,1.4366379310344828
108,Government Policies,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
109,Growth,1.1352420652128299,0.0030025047560658753,1513.0,1067.0,330.0,280.0,1.0,0.9936974789915967
110,Guidance,1.1202368786042778,0.7673868940554756,27.0,19.0,27.0,16.0,0.270843701040555,1.4634533898305084
111,HELOC Utilization,inf,0.506996673265863,2.0,0.0,1.0,0.0,1.0,inf
112,Health Impact,0.4727335640138408,0.31281686927637886,3.0,5.0,3.0,5.0,0.4802846745031196,0.5047619047619047
113,Holiday Sales,0.2626419881220089,0.32704684935976347,1.0,3.0,1.0,2.0,0.5961991274491275,0.42236842105263156
114,IT Systems,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
115,Industrial Recovery,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
116,Industry Outlook,0.9223515457039069,0.7486030879241738,48.0,41.0,38.0,27.0,0.5145104926757821,1.2145556635352555
117,Innovation,1.0565518849768383,0.6112747219086452,229.0,171.0,96.0,84.0,0.8623988207344522,0.9583959899749374
118,Innovations,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
119,Insurance,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
120,Integration,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
121,Interest Expense,0.3940062272963155,0.5864294913635416,1.0,2.0,1.0,2.0,0.5961991274491275,0.42236842105263156
122,Inventory Management,1.3219619867780097,0.17252100046646268,67.0,40.0,39.0,30.0,0.7042871046767298,1.1137426900584795
123,Investment Banking,1.4641682127396414,0.5024762222980558,13.0,7.0,5.0,5.0,1.0,0.8457446808510638
124,Investments,0.8702790293556486,0.06619816170371517,394.0,355.0,181.0,170.0,0.1984866074720031,0.8145
125,Investor Confidence,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
126,LNG Pricing,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
127,Leadership,0.8922490765785417,0.4653701743874671,102.0,90.0,51.0,54.0,0.24307251794182552,0.7698653198653199
128,Leverage,1.802521372279751,0.21258657767537398,16.0,7.0,16.0,7.0,0.14235755387288385,1.9788649706457926
129,Licensing Revenue,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
130,Litigation,0.0,0.0014217139606988304,0.0,8.0,0.0,6.0,0.009094375412878105,0.0
131,Litigation Concerns,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
132,Litigation and Regulation,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
133,Loan Demand,inf,0.03789999742169789,6.0,0.0,3.0,0.0,0.2540310196560197,inf
134,Loan Loss Reserves,2.6284659107302577,0.165524442828177,10.0,3.0,7.0,2.0,0.19027458331785202,3.0040106951871657
135,Loan Portfolio,0.9123901513596834,0.8751400348710344,22.0,19.0,5.0,6.0,0.7621436253411819,0.7025709219858156
136,Loan Syndication,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
137,Logistics Costs,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
138,Long-term Growth,1.1999140089913405,0.5117042881949109,35.0,23.0,32.0,18.0,0.18477265829221548,1.5536453358802929
139,Manufacturing,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
140,Margin Compression,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
141,Margins,1.051940189050964,0.40515032893454417,696.0,523.0,257.0,214.0,0.7483700989349795,1.055660235152246
142,Market Cap,2.893365681772232,0.020639632635998453,22.0,6.0,22.0,6.0,0.010664497345828132,3.2376973073351905
143,Market Conditions,0.9053126129382002,0.14497117250161295,495.0,429.0,224.0,204.0,0.24603311608513367,0.832271762208068
144,Market Data,inf,0.26049500989879437,3.0,0.0,3.0,0.0,0.2540310196560197,inf
145,Market Expansion,1.049709510212817,0.6211006497458453,294.0,221.0,150.0,122.0,0.6979604905976584,1.0698318075367255
146,Market Expectations,0.9457125551613741,1.0,6.0,5.0,6.0,5.0,1.0,1.0176
147,Market Performance,0.29517824694990047,0.008782716905836022,6.0,16.0,4.0,13.0,0.01276470854460718,0.2530095898796164
148,Market Share,1.0667685503571718,0.31980476782139705,595.0,441.0,226.0,190.0,0.9387100285973877,1.0206451612903227
149,Marketing,1.056734622451658,0.6916983749971519,134.0,100.0,73.0,59.0,0.7722773195985919,1.0605326876513317
150,Marketplace,2.6284659107302577,0.165524442828177,10.0,3.0,6.0,3.0,0.5184105091920801,1.7066666666666668
151,Mergers and Acquisition,0.9228223421664609,0.5337765116423758,143.0,122.0,81.0,61.0,0.4520471599274204,1.159672131147541
152,Mergers and Acquisition Advisory,1.5763342271429808,1.0,2.0,1.0,2.0,1.0,1.0,1.6992084432717678
153,Mortgage Production,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
154,Natural Gas,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
155,Net Cash,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
156,Net Charge-offs,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
157,Oil & Gas Industry,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
158,Oil Prices,2.8915627885503232,0.10868910635718604,11.0,3.0,9.0,3.0,0.24163353503607182,2.5806451612903225
159,Operating Leverage,0.5906631460479612,0.18458400134409192,12.0,16.0,10.0,12.0,0.515427274637106,0.6985624438454627
160,Operating Margin Return on Inventory,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
161,Operating Metrics,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
162,Operating Performance,inf,0.13551915232335124,4.0,0.0,3.0,0.0,0.2540310196560197,inf
163,Operational Issues,4.730639439300857,0.14336511732280655,6.0,1.0,5.0,1.0,0.2263108399178958,4.281914893617022
164,Operational Performance,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
165,Operations,0.552806598745751,0.021826741133588554,26.0,37.0,26.0,25.0,0.6637756353313877,0.8730140845070422
166,Organizational Structure,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
167,Partnerships and Collaborations,0.8831304736792541,0.4679825646553185,83.0,74.0,37.0,28.0,0.6958202919165308,1.1332018272425248
168,Pension Obligations,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
169,Performance,0.2625782083441455,0.14989734156630496,2.0,6.0,2.0,5.0,0.25662568608262626,0.33562005277044854
170,Pipeline,0.2626419881220089,0.32704684935976347,1.0,3.0,1.0,3.0,0.3379432198975708,0.2807017543859649
171,Price Shock Absorber,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
172,Price/Earnings Ratio,1.5507069616167635,0.0600688126896211,55.0,28.0,43.0,22.0,0.049569772869728995,1.7405863367401828
173,Price/Mix Strategy,0.7878053005369825,0.49465549603793674,17.0,17.0,11.0,7.0,0.6359829017848826,1.3420849420849421
174,Pricing Strategy,0.5961854635801593,0.06283097331723153,25.0,33.0,20.0,24.0,0.27460567189890717,0.6902123730378578
175,Process Optimization,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
176,Processes,1.0290489560418354,0.9123686224220717,47.0,36.0,33.0,23.0,0.4868717290521399,1.23688155922039
177,Product Characteristics,1.876097253606814,0.009570777985779887,57.0,24.0,33.0,16.0,0.07358327143150226,1.8195043103448276
178,Product Performance,0.5618040158055766,0.017053495652826177,30.0,42.0,25.0,27.0,0.3879737367465751,0.7698709945900957
179,Product Strategy,1.1490568847413878,0.5867903627999764,51.0,35.0,36.0,28.0,0.7928801839081903,1.0993788819875776
180,Production,0.8644793515134318,0.5152457784998025,45.0,41.0,23.0,23.0,0.6466670932685847,0.8379888268156425
181,Profitability,0.7680926587969342,0.262385533881378,40.0,41.0,29.0,34.0,0.18720373594048623,0.7002840909090909
182,Programming Expenses,0.0,0.19425089999141473,0.0,2.0,0.0,1.0,0.4588068181818182,0.0
183,Provision Expense,0.0,0.19425089999141473,0.0,2.0,0.0,1.0,0.4588068181818182,0.0
184,Quality,1.5763342271429808,1.0,2.0,1.0,2.0,1.0,1.0,1.6992084432717678
185,Quality Management,0.0,0.01662293292335039,0.0,5.0,0.0,3.0,0.09609445546945548,0.0
186,R&D,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
187,Real Estate,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
188,Refranchising,2.103172541208395,0.134392821771129,16.0,6.0,8.0,3.0,0.24043377740748334,2.287756925826631
189,Regulations,1.005064980818222,1.0,190.0,149.0,91.0,81.0,0.7255014330578398,0.9375053214133674
190,Research and Development,0.7559489312560815,0.012829302148275885,158.0,164.0,59.0,59.0,0.36236362805974554,0.8198757763975155
191,Reserve Build,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
192,Reserve Release,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
193,Restructuring,4.730639439300857,0.14336511732280655,6.0,1.0,4.0,1.0,0.38172191649367115,3.416445623342175
194,Retail Initiatives,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
195,Retail Landscape,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
196,Return On Equity,0.9813224450677043,0.9264711433797265,66.0,53.0,48.0,32.0,0.28481935116924784,1.3108108108108107
197,Return On Investment,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
198,Revenue,0.9628866195577843,0.392373737532654,1313.0,1070.0,332.0,270.0,0.19795772335925949,1.3300075585789872
199,Risk Management,1.0036698190789475,1.0,163.0,128.0,74.0,75.0,0.2296580320745884,0.7970466883821933
200,Risk/Reward,2.0502857142857143,0.23469408686579815,13.0,5.0,11.0,5.0,0.31230363917970727,1.8908108108108108
201,Risks,0.5248362051548474,0.06219381380548509,14.0,21.0,14.0,21.0,0.11626276194110743,0.5485921889191644
202,SG&A Growth,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
203,Safety,0.032754569566972265,4.100193809597459e-08,1.0,24.0,1.0,8.0,0.013884724528109862,0.10361842105263158
204,Safety Profile,1.5763342271429808,1.0,2.0,1.0,1.0,1.0,1.0,0.8473684210526315
205,Sales & Trading,1.0508406148167373,1.0,4.0,3.0,4.0,3.0,1.0,1.1317418213969939
206,Sales Channels,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
207,Sales Forecast,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
208,Sales Performance,1.0600845013106082,0.902772240764377,39.0,29.0,30.0,20.0,0.46209672498852805,1.294871794871795
209,Sales Promotion,0.0,0.19425089999141473,0.0,2.0,0.0,2.0,0.2101504914004914,0.0
210,Sales Risk,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
211,Scalability,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
212,Seasonality,1.3798951654825853,0.48333859135145774,21.0,12.0,20.0,11.0,0.27142326087878965,1.5713925963233442
213,Securities,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
214,Securities Losses,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
215,Security,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
216,Security Breach,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
217,Sentiment,0.788007268322229,0.7745509180155397,6.0,6.0,6.0,5.0,1.0,1.0176
218,Shareholder Returns,0.3940062272963155,0.5864294913635416,1.0,2.0,1.0,2.0,0.5961991274491275,0.42236842105263156
219,Shares Outstanding,5.127402597402598,0.017884231565177662,13.0,2.0,12.0,2.0,0.026559691852441645,5.219512195121951
220,Shares Repurchase,0.7725703596133543,0.05563512050952632,117.0,119.0,75.0,75.0,0.2684731477183799,0.8104575163398693
221,Stock Dilution,0.0,0.0377241485773959,0.0,4.0,0.0,2.0,0.2101504914004914,0.0
222,Stock Ownership,2.6284659107302577,0.165524442828177,10.0,3.0,9.0,3.0,0.24163353503607182,2.5806451612903225
223,Stock Performance,1.360381218233062,0.2119706269880067,50.0,29.0,45.0,21.0,0.019096751102836918,1.9260204081632653
224,Stock Price,0.9456278706993674,0.8800182510127696,24.0,20.0,23.0,19.0,1.0,1.0279329608938548
225,Stock Recommendation,0.8906693398555121,0.7736287685650565,26.0,23.0,24.0,22.0,0.8785908311806436,0.9197860962566845
226,Stock-Based Compensation,1.3136644171425276,1.0,5.0,3.0,1.0,3.0,0.3379432198975708,0.2807017543859649
227,Store Expansion,0.0,0.19425089999141473,0.0,2.0,0.0,1.0,0.4588068181818182,0.0
228,Strength,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
229,Subscriber Growth,0.0,0.08560607283649896,0.0,3.0,0.0,3.0,0.09609445546945548,0.0
230,Subscription Growth,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
231,Supplier Relations,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
232,Supply Chain,0.9203848360474867,0.5981134531764569,97.0,83.0,67.0,53.0,0.6889067893466051,1.0870087729840163
233,Sustainability,1.1825073644082482,0.7340738117696346,21.0,14.0,15.0,10.0,0.6836867394602566,1.2827868852459017
234,Synergies,1.1823651631893342,0.8234721911559788,12.0,8.0,8.0,8.0,0.8028434368213135,0.8445040214477212
235,Tax Issues,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
236,Taxes,0.7447266352240288,0.14649023561957142,53.0,56.0,43.0,43.0,0.42130001745007406,0.8284023668639053
237,Tech Spending,inf,0.506996673265863,2.0,0.0,1.0,0.0,1.0,inf
238,Technology Trends,1.3847131504022216,0.0002741329131842144,345.0,198.0,113.0,81.0,0.17710757180953673,1.259719918923899
239,Trading,0.5909818339100346,0.7068152477479959,3.0,4.0,2.0,3.0,0.6652465805015734,0.5628847845206685
240,Traffic,0.0,0.19425089999141473,0.0,2.0,0.0,2.0,0.2101504914004914,0.0
241,Training,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
242,Transaction Closure,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
243,Transaction Fees,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
244,Transition,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
245,Transparency,0.0,0.44075256335848323,0.0,1.0,0.0,1.0,0.4588068181818182,0.0
246,Trust,inf,0.506996673265863,2.0,0.0,2.0,0.0,0.5026873464373465,inf
247,Underwriting,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
248,Vaccine Development,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
249,Valuation,1.2564588501075646,0.05391324740086501,197.0,124.0,136.0,89.0,0.023173458349564087,1.4594817702361844
250,Value Creation,inf,0.26049500989879437,3.0,0.0,2.0,0.0,0.5026873464373465,inf
251,Value Investing,0.7880806158636796,1.0,2.0,2.0,2.0,2.0,1.0,0.8469656992084432
252,Value Unlocking,1.5763342271429808,1.0,2.0,1.0,2.0,1.0,1.0,1.6992084432717678
253,Visibility,inf,0.13551915232335124,4.0,0.0,3.0,0.0,0.2540310196560197,inf
254,Volume,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
255,Volume Growth,0.7880989448192355,1.0,1.0,1.0,1.0,1.0,1.0,0.8473684210526315
256,Volume Leverage,0.0,0.19425089999141473,0.0,2.0,0.0,1.0,0.4588068181818182,0.0
257,Workflow Integration,inf,1.0,1.0,0.0,1.0,0.0,1.0,inf
258,Yield,inf,0.26049500989879437,3.0,0.0,3.0,0.0,0.2540310196560197,inf
