,document_id,paragraph_id,sentence_id,sentence
87,3,19,2,"However, the rapid growth of iPhones and falling iPad sales has led to iPad now making up only 10 of AAPLs total revenue."
88,3,20,1,Tablets have longer replacement cycles compared to smartphones as consumers are less compelled to upgrade their tablets compared to smartphones.
89,3,20,2,"In 2QFY16, AAPL reported iPad sales were down 19 yoy with unit sales of 10.25 mn."
90,3,20,3,iPad sales were slightly better than consensus estimates which were on average about 9.95 mn.
91,3,20,4,"Of note however, the new 9.7 inch iPad Pro was only released at the end of Q2 2016 and sales figures would not have captured the full extent of demand."
92,3,20,5,AAPL expects the next quarter to be the best iPad quarter in two years based on their estimates.
93,3,20,6,"For now, we expect the iPad to continue accounting for a smaller component of AAPLs revenue over time."
94,3,21,1,"Macs are AAPLs laptops offering, they account for 11 of AAPLs revenue."
95,3,21,2,Mac unit sales have been on the uptrend over the past 3 years as the Macbook has gained popularity and more mainstream acceptance.
96,3,21,3,"However, Macbook sales fell 9 yoy in 2QFY16, which was worse than consensus estimates."
97,3,21,4,"However, a silver lining is that AAPL is gaining traction in China, where 80 of the Chinese Mac buyers were purchasing for the first time."
98,3,21,5,"Management has given guidance that it expects Mac sales to increase in 3QFY16 on the back of an updated Macbook, which was thinner and lighter with better specs."
99,3,21,6,"As one of AAPL core offerings, we expect Mac sales to maintain its share of revenue as it gains traction as a viable alternative to PCs."
100,3,21,7,"We believe that Mac sales will increase as compared to the iPad, despite both having similarly long replacement cycles compared to iPhone due to Mac having greater functionality."
101,3,22,1,"Apple Watch led to a 30 yoy growth in Other Product revenue, since it is a relatively new product offering, the Watch has generated new avenues of revenue for AAPL."
102,3,22,2,Whether the take up rate can continue or the Watch becoming like the iPad in terms of replacement rate remains to be seen.
103,3,23,1,Revenue from Services rose 20 yoy to US6 bn in 2QFY16.
104,3,23,2,Apple as a service is a concept that AAPL has taken large steps towards and is increasingly becoming the bright spot in the current environment of stalling hardware sales.
105,3,23,3,"Services create the Eco system which allows AAPL to further entrench its user base, creating more reasons for its stickability."
106,3,23,4,AAPL has been showing that it is increasingly able to monetize that active user base to generate more revenue from its services.
107,3,23,5,"In the 1QFY16, AAPL revealed that it had 1 bn active installed base, devices that were actively engaged in Services within that quarter, leading to Installed Base Related Purchases of US8.9 bn."
108,3,23,6,This figure grew by 27 yoy to US9.9 bn in the March quarter.
109,3,24,2,"Revenue grew by 35 yoy, generating 90 more global revenue than Google Play."
110,3,25,2,"Music grew from 10 mn to 13 mn paying subscribers since introducing a download and streaming model, leading AAPL to be optimistic that Apple Music revenue will start growing again moving forward."
111,3,26,2,"Being very new, Apple Pay is not expected to make significant contribution to AAPLs FY16 revenue."
112,3,26,3,"However, adoption rate is increasing exponentially, with transactions volume growing by 500 yoy."
113,3,26,4,"AAPL has launched over 2.5 mn locations that accept Apple Pay, with plans to expand further."
114,3,26,5,"While usage rates remain low, as the idea of NFC Near Field Communication payment is still new and not widely adopted yet, there is still much room for growth and eventually monetization."
115,3,26,6,"However, with credit card companies like Visa, as well as other phone companies like Samsung, are also heading into the space, the idea of NFC payments might not take that long to be legitimized."
116,3,26,7,"As such, we view this as an avenue with great potential in the future."
117,3,27,1,"Overall, we see great potential in Apple as a service."
118,3,27,2,"It remains the one category of revenue that AAPL has been able to achieve consecutive doubledigit growth, on average about 20, over the past 5 years."
119,3,27,3,"Services provide recurring revenue stream for AAPL that could grow independent of the unit sales, making it especially helpful in the current environment of slowing hardware sales."
120,3,27,4,We expect Services revenue to continue to grow and become a greater part of AAPLs revenue as upgrade cycles for iPhones stretch to 23 years.
121,3,28,1,"Of note though, is Chinas recent ban of AAPL iBooks and iTunes Movies, which could be a potentially worrying trend."
122,3,28,2,"Considering that if Services are to be the future of AAPL and Chinas important role in this strategy, then it would be a huge detriment to AAPLs future growth if the ban expands to the rest of AAPLs services."
123,3,28,3,"For now however, with just the iBooks and iTunes Movies ban, while worrying, it is not a large dent in AAPLs services growth and the thesis of Service growth should still hold."
124,3,29,1,"AAPL main revenue source by region comes from Americas, which makes up 40 of the total revenue."
125,3,29,2,"While Americas contribution to AAPLs revenue has been increasing on an absolute value, it has not been growing at a very fast pace."
126,3,29,3,"Americas revenue grew 4 in 2014 when total revenue grew 7, and grew at 17 yoy in 2015 when total revenue grew at 28."
127,3,29,4,It is likely that Americas revenue will continue to grow at a slower pace as compared to the total revenue.
128,3,30,1,"On the other hand, Greater China, which currently makes up 25 of its total revenue, has been rising at an incredibly fast pace."
129,3,30,2,"In 2014, Greater China only made up 17.4, this represents an 84 yoy increase."
130,3,30,3,"In the 2QFY16, China had a qoq change of 32 from 1QFY16, and a yoy change of 26."
131,3,30,4,"China was the main reason for AAPLs explosive growth in the previous year, growing by 84 yoy in FY15."
132,3,30,5,"In comparison, 2QFY16s results appears dismal, coming in at US12.5 bn vs previous years US16.8 bn."
133,3,30,6,"When seen against the backdrop of such a breakout year previously, it is not surprising that investors have reacted negatively to AAPLs performance this quarter in China."
134,3,30,7,"However, we feel that this is less of a slowdown and more of a normalization of AAPLs sales in China."
135,3,30,8,"AAPLs YTD revenue from China stands at roughly US30.8 bn, already almost as much as FY14, where revenue from China was US31.8 bn."
136,3,30,9,"As LTE network continues to expand in China and adoption increases, we expect Chinas demand for iPhones to continue to grow."
137,3,30,10,"However, whether China adopts the same replacement rate that Americas has had over the past years remains to be seen."
138,3,30,11,"Regardless, China should continue to be a growing source of revenue for AAPL."
139,3,31,1,"As mentioned earlier, India is also a developing market which could provide avenues of future growth for AAPL, sales having grown 56 yoy."
140,3,31,2,"As LTE networks continue to rollout, smartphones become more useable as compared to 2.5G or 3G networks, leading to increase demand."
141,3,31,3,"APAC ex Japan accounted only for US15 bn, being home to more developing nations, but as those nations continue to develop, AAPL should be able to take advantage of improvements in infrastructure to expand there."
142,3,32,1,"AAPL has amassed a large amount of cash, with US232.9 bn in cash and marketable securities as of 31 Mar 2016, up almost US20 bn yoy."
143,3,32,2,"However, 90 of this cash hoard is outside the USA."
144,3,32,3,"This is significant due to USA tax laws, which would cause AAPL to have to pay upwards of about US60 bn if it was to remit back to the USA."
145,3,32,4,AAPL has thus taken advantage of the current low interest rate environment to take on more debt.
146,3,32,5,"AAPL issued another US15.5 bn in USD notes in the latest quarter, bringing its debt level to about US72 bn."
147,3,32,6,"This puts its current net cash position at about US160 bn, which is equivalent to about US30 per share."
148,3,32,7,"Most of the borrowings has been put to fund the Capital return program, mainly dividends and share buybacks."
149,3,33,2,Attractive Capital Return Program Dividends and buyback increased .
150,3,33,3,"AAPL announced a further increase to its capital return program on 26 April 2016, increasing it to US250 bn from US200 bn in April 2015."
151,3,33,4,"The dividend was increased to US0.57 per share for shareholders on close of business 9 May 16, up c.10 from US0.52."
152,3,33,5,"Since AAPL started paying a dividend in 2012, it has increased the dividend each year consecutively, from US0.38 per share to US0.52, with a CAGR of about 8p.a."
153,3,33,6,"This represents a payout ratio of about 24, which is relatively low, indicating that there is still substantial room for future dividend growth."
154,3,33,7,Share repurchase authorization was also increased from US140 bn to US175 bn.
155,3,34,1,Valuation Methodology Discounted Free Cash Flow Model DCF model was used to derive a valuation of AAPLs intrinsic value.
156,3,35,1,"We have made the following assumptions for the model Headwinds in iPhone sales leading to decline and slow growth over the next two years, after which iPhone sales should start growing at a slower rate iPad sales may pick up in the next FY but repeat the cycle of slow replacement, leading to flat revenue Increase in Mac take up as Macbooks gain traction and more mainstream acceptance as PC and laptop replacements Service Revenue will increase as AAPL expands their ecosystem and continues to increase the monetization of their user base"
157,3,36,1,"We initiate coverage for AAPL with a Buy rating with a target price of US119.37 , derived from our DCF estimates."
158,3,37,1,Poor response to iPhone 7.
159,3,37,2,"While AAPLs customer base is very loyal, if iPhone 7 has a lacklustre showing and fails to excite that base, it could lead to even lower take up and a longer replacement cycle."
160,3,37,3,Weaker consumer sentiment amidst slowdown in the global economy could also negatively impact the take up of iPhones.
161,3,38,1,Slowdown in Services.
162,3,38,2,Services have been growing at an incredible rate and been the one bright spot in the 2QFY16.
163,3,38,3,AAPL transitioning into more of a Services company rather than a Hardware company also forms the basis for our estimates of future growth.
164,3,38,4,"If Services revenue slows down or if consumers fail to become entrenched into AAPLs ecosystem, it would adversely affect AAPL and our valuations."
165,3,39,1,"It is difficult to find a one to one comparison to AAPL in the US market, as while its peers do have some overlap with AAPL, there is also large differences between them."
166,3,39,2,"As such, we have chosen to show Google and Microsoft as peer comparisons."
167,3,39,3,"Google is relevant for the Android comparison and Microsoft is relevant for the Windows phone, PC and its recent move into a Service company as well."
168,3,40,1,AAPL remains the largest of the three companies by market cap.
169,3,40,2,"Based on PER, it is also the more undervalued stock amongst the three, trading at about 10x PER while the other two trade at more than 30x PER."
170,3,41,1,"AAPL, at US92.79, is also trading near its 52 week low of US91.85."
171,3,41,2,"Based on the Historical PER chart below, it is also trading at near 8 year low valuations."
172,3,41,3,"At US92.79, AAPL is trading at 10.32x PER as compared to its 5year historical average of 13.7x PER."
173,3,42,1,"AAPL gave poor guidance for 3QFY16, citing continued macro headwinds sending AAPL shares tumbling down."
174,3,42,2,"We expect AAPLs share price to remain depressed in the short term, while the market reacts bearishly to AAPL prospects and fears on iPhones saturation."
175,3,43,1,"However, AAPLs balance sheet remains strong with net cash at almost US160 bn, which works out to almost US30 net cash per share."
176,3,43,2,"At current prices, that indicates a net price US60 per share, indicating a c.7x FY16e PER."
177,3,44,1,"Additionally, its brand equity and loyal consumer base allows AAPL to continue to generate large profits and cash flow even in difficult seasons."
178,3,44,2,Its growing Services revenue is promising as it shows AAPL is making headway in their transition to a Services company.
179,3,45,1,"Therefore, we believe that the current knee jerk reaction in the market to AAPL is overblown, leading to AAPL being undervalued."
180,3,45,2,"As such, we initiate a Buy rating on AAPL with a Target Price of US119.37 , indicating about a 28 upside to the share excluding dividends."
181,4,1,1,"Nektar announced positive results from the Phase 3 SUMMIT07 study of NKTR 181, the companys proprietary novel abuse resistant opioid for pain."
182,4,1,2,"In SUMMIT07, NKTR181 met all important primary and secondary endpoints in the study, and the molecule appeared well tolerated, in our view, materially de risking the program."
183,4,1,4,"At week 12 post randomization, average pain scores increased 1.46 points on the Numeric Rating Scale with placebo versus 0.92 points for NKTR 181 p0.0019, n610."
184,4,1,6,"The proportion of patients on NKTR181 experiencing pain reductions of 30 was 71.2 versus 57.1 for placebo p0.0003, and the proportion of patients with 50 pain reduction was 51.1 for NKTR181 versus 37.9 for placebo p0.001."
185,4,1,7,"NKTR181 appeared welltolerated, with common adverse events 5 of nausea 10.4 and constipation 8.7 with NKTR181, compared to nausea 6.0 and constipation 3.0 with placebo."
186,4,1,8,"NKTR181 has been Fast 12 month target Tracked, a rarity for an opioid, and with this positive study in hand, there is a possibility for rapid progression of NKTR181 as a result."
187,4,1,9,A material partnership is now also a possibility for NKTR181.
188,4,1,10,We maintain our Buy rating our estimates and target are currently under review.
189,4,1,11,52 week range Dividend Yield Market Cap m NKTR214 Data
190,4,1,12,"Emerging Throughout 17 ASCO Possibly A Highlight. NKTR214 could improve the safety and efficacy of IL2, an approved immunostimulant for RCC and melanoma."
191,4,1,13,"214s early clinical data has shown activity, and additional readouts are upcoming in combination with Bristol Myerss BMY, Not rated Opdivo nivolumab."
192,4,1,14,214 has shown important activity in a renal cell carcinoma patient being given Opdivo after treatment with 214 additional data in RCC patients with encouraging responses will be presented at ASCO in June.
193,4,2,1,Multiple NearTerm Additional Catalysts.
194,4,2,2,"An EU decision for Onzeald for breast cancer patients with brain metastases in upcoming mid2017, and two inhaled antibiotic programs with Bayer BAYN, Not rated will have pivotal readouts in 1H17."
195,4,2,3,We anticipate success for each of these programs.
196,4,3,1,"NEKTAR THERAPEUTICS NKTR, Buy, 22.00 PT Current Price 15.50 Analyst Robert."
197,5,1,1,212 5273505 We have lowered our CY18 revenue est.
198,5,1,2,"to 4,716M from 4,854M, and our EPS forecast to 4.40 from 4.75 following 3Q results, which missed our top line est.s as a result of continued price erosion and a lack of significant new product launches within its prescription generic segment."
199,5,1,3,"In addition, the Co.s animal health business continues to f ace performance issues, which led to the Co. taking a 213M goodwill intangible asset impairment."
200,5,1,4,"With PRGOs new President and CEO Murray Kessler now at the helm, we expect a new set of operational initiatives to take effect in 2019."
201,5,1,5,"However, the dete rioration of the Co.s generic Rx segment is troubling , especially when considering that operating margins were in the lowtomid 40 range not that long ago."
202,5,1,6,"While PRGO shares have dropped 28 YTD and 16 12 month target today, we think the Co.s valuation is still a t a substantial premium to its specialty pharma peers."
203,5,1,7,"Based on our CY18 EPS est. of 4.40, PRGO shares are trading at a PE multiple of 14x, which we think is still a lofty multiple."
204,5,1,8,"52 week range For CY18, PRGO now expects revenues of 4.7B down from 4.8 Dividend Yield Market Cap m 4.9B, with adj."
205,5,1,9,"operating income of 890 920M down from 960 990M, and adj."
206,5,1,10,EPS of 4.45 4.65 down from 4.75 4.95.
207,5,1,11,Operating cash flows are now targeted at 600M down from 675M.
208,5,2,1,"For the Rx generic segment, PRGO now expects net sales of 800M down from 880M with an adj."
209,5,2,2,operating margin in the midtohigh 30 range down from 40 previously.
210,5,2,3,"The Co. highlighted its main reasons for the downward revisions including a disappointing launch for generic Androgel 1.62, poor customer service, and continued price erosion on its base business."
211,5,3,1,PRGO finished 3Q with 444M of cash and 3.3B of total debt.
212,5,3,2,"During the quarter, the Co. repurchased 1.8M shares at a cost of 135M. We est."
213,5,3,3,PRGOs debt EBTIDA ratio is currently at 2.8x.
214,5,4,1,"PRGO reported 3Q revenues of 1,133M vs. our 1,243M est."
215,5,4,4,EPS of 1.09 vs. our 1.05 est..
216,5,4,5,"CHC America revs of 596M were flat YOY vs. our 593M est., Rx Pharma revs of 179M were down 28 YOY vs. our 207M est., and CHC Intl revs of 358M were down 2 YOY vs. our 367M est.."
217,5,5,1,Valuation We maintain our Neutral rating on PRGO shares.
218,5,6,1,"For the Rx generic segment, PRGO now expects net sales of 800M down from 880M with an adj."
219,5,6,2,operating margin in the midtohigh 30 range down from 40 previously.
220,5,6,3,"The Co. highlighted its main reasons for the downward revisions including a disappointing launch for generic Androgel 1.62, poor customer service, and continued price erosion on its base business."
221,5,7,1,"For CY18, PRGO now expects revenues of 4.7B down from 4.8 4.9B, with adj."
222,5,7,2,"operating income of 890 920M down from 960 990M, and adj."
223,5,7,3,EPS of 4.45 4.65 down from 4.75 4.95.
224,5,7,4,Operating cash flows are now targeted at 600M down from 675M.
225,5,8,1,We have lowered our CY18 revenue est.
226,5,8,2,"to 4,716M from 4,854M, and our EPS forecast to 4.40 from 4.75."
227,5,9,1,"For the Rx generic segment, PRGO now expects net sales of 800M down from 880M with an adj."
228,5,9,2,operating margin in the midtohigh 30 range down from 40 previously.
229,5,9,3,"The Co. highlighted its main reasons for the downward revisions including a disappointing launch for generic Androgel 1.62, poor customer service, and continued price erosion on its base business."
230,5,10,1,"PRGO reported 3Q revenues of 1,133M vs. our 1,243M est."
231,5,10,4,EPS of 1.09 vs. our 1.05 est..
232,5,11,1,"CHC America revs of 596M were flat YOY vs. our 593M est., Rx Pharma revs of 179M were down 28 YOY vs. our 207M est., and CHC Intl revs of 358M were do wn 2 YOY vs. our 367M est.."
233,5,12,1,"PERRIGO COMPANY PLC PRGO, Neutral, NA PT Current Price 62.88 Analyst Timothy."
234,7,1,1,"INVESTMENT HIGHLIGHTS NA SCTY hosted a wellattended Analyst Event in Fremont, CA."
235,7,1,2,"Walking through its value creation model, mgmt provided extensive details on cost improvements and various technologies."
236,7,1,3,We came away more positive on SCTYs costs Solar Photovoltaic Technology roadmap and leadership in the solar space.
237,7,1,4,"However, the company did not provide much detail on what SCTYs cost of capital would look like in the postITC rising interest rate environment, a major investor question."
238,7,1,5,"In the near term, news flow on regulatory changes, including net metering such as yesterdays CPUC proposed fee for NED and ITC extension could drive wider swings in the stock price."
239,7,1,6,"Longer term, we believe Raising price in 2016."
240,7,1,7,"investors will remain focused on growth, cash flow and value creation."
241,7,2,1,SCTY plans to increase its price in CA by 0.01kWh and on a blended avg price by 0.007kWh.
242,7,2,2,We estimate such a move could translate to an Offered new LT cost targets in the postITC arena.
243,7,2,3,"increase in value creation from 3.86W to 4.01W, or 4."
244,7,3,1,"New 2017 cost target of 2.25 W is below the prior target of 2.50W, mostly coming from more aggressive savings in sales and installation."
245,7,3,2,"Additionally, mgmt provided a 2019 target of 2.00W, but that would require substantial improvements to customer acquisition costs and Commercial effort appears to be gaining traction."
246,7,3,3,"successful rampup of Silevo, both of which carry some risks."
247,7,4,1,Comments suggest commercial bookings continue to be strong going into 4Q15.
248,7,4,2,SCTY has increased insourcing of commercial installation and launched a new racking system to better control quality costs.
249,7,4,3,"While mgmt guided for commercial installation to grow at a similar rate as overall, we believe good traction in larger 1MW installation will drive upside to total Plans to monetize more upfront cash flow amount to 3rd party selling of asset 2016 guidance of 1.25GW up 43."
250,7,5,1,We appreciate mgmt for offering more simplified metrics to provide clear visibility to value creation.
251,7,5,2,"Mgmt highlighted the value created in 3Q15 at 3.86 Stock Price Performance W vs. costs of 2.84W. SCTY is currently monetizing 2.68W with debt, but looking into a 3rd party equity buyer could be private yieldco to maximize upfront monetization for some of the asset."
