,Argument,positive,neutral,negative
170,Equities,2,0,2
171,Equity Underwriting,5,0,1
172,Debt Underwriting,5,0,2
173,Loan Syndication,0,0,2
174,Mergers and Acquisition Advisory,1,0,2
175,Currency Impact,1,4,25
176,EBIT,1,0,0
177,Shares Outstanding,1,12,2
178,Sales & Marketing,3,1,2
179,Risk/Reward,13,1,4
180,Sustainability,27,0,4
181,Environmental Impact,3,0,2
182,Visibility,1,1,4
183,Execution,6,2,12
184,Regulatory Issues,12,5,63
185,Culture,1,0,1
186,Operating Expenses,3,2,10
187,Sales Risk,0,0,2
188,Return On Capital Employed,2,1,2
189,Financial Services,2,0,0
190,Commercial Banking,3,0,2
191,Asset Management,3,0,1
192,Net Interest Margin,2,1,4
193,Trading,6,0,1
194,Corporate Lending,1,0,1
195,Credit Quality,10,1,7
196,Content Spend,2,0,1
197,Licensing Revenue,0,0,1
198,Expense,0,2,1
199,Cost Reduction,5,0,1
200,Gross Margin Return on Inventory,2,0,2
201,Credit,1,2,0
202,Product Launch,8,1,0
203,Loan Demand,0,1,5
204,Underwriting,1,0,0
205,Oil Prices,7,2,7
206,Economic Recovery,1,1,0
207,Capex Allocation,1,1,2
208,Shareholder Returns,3,0,0
209,Pipeline,2,0,3
210,Litigation Concerns,0,0,2
211,Loan Growth,17,4,4
212,Capital Markets,1,1,0
213,Net Interest Income,23,4,4
214,Strength,2,0,0
215,Restructuring,6,0,2
216,Value Unlocking,3,0,0
217,Liquidity,1,0,3
218,Loan Loss Reserves,6,1,6
219,Financial Position,4,0,0
220,Flexibility,1,0,0
221,Gross Margin,9,2,4
222,Yield,0,0,3
223,Mortgage Production,1,0,0
224,Net Charge-offs,0,0,2
225,Health Impact,2,2,4
226,R&D,0,0,1
227,Earnings Risk,0,1,3
228,Commercial Lending,1,1,1
229,HELOC Utilization,0,1,1
230,User Growth,1,1,5
231,Ad ARPU,1,0,0
232,Engagement,1,0,4
233,Global Economic Conditions,0,0,5
234,Oil & Gas Industry,2,0,0
235,Energy Sector,2,0,0
236,Stock Dilution,0,0,4
237,Capital Structure,0,1,0
238,Working Capital,2,1,1
239,API Integration,1,0,0
240,Workflow Integration,1,0,0
241,Market Expectations,3,3,6
242,FICC,1,0,1
243,Customer Remediation,0,0,2
244,Reserve Release,1,0,0
245,Asset Sale,3,0,2
246,Cost of IBL,0,0,1
247,Deposits,3,1,2
248,Deposit Costs,0,0,1
249,Earnings Visibility,3,0,0
250,Operational Performance,1,0,0
251,Industrial Recovery,2,0,0
252,Litigation,1,0,8
253,User Engagement,6,0,0
254,Emissions Reduction,4,0,0
255,Financial Impact,2,1,2
256,Organizational Structure,1,0,0
257,Customer Engagement,10,1,0
258,Commodity Prices,4,1,6
259,Franchising,6,1,0
260,Asset-Light Models,1,0,0
261,Supplier Relations,1,0,0
262,Manufacturing,0,0,1
263,Branded Exposure,1,0,0
264,Operating Margin Return on Inventory,0,0,2
265,Tax Impact,2,0,5
266,EBITDA Multiple,0,1,0
267,Transaction Closure,1,0,0
268,Scalability,1,0,0
269,Inflation,4,12,9
270,Value Creation,4,0,0
271,Retail Initiatives,0,1,0
272,Demographics,1,0,0
273,Transition,1,1,0
274,Earnings Guidance,6,7,4
275,EBITDA Margin,2,1,1
276,Programming Expenses,0,0,2
277,Subscriber Growth,3,0,0
278,Subscription Growth,1,0,0
279,Training,0,0,1
280,Political Environment,0,1,4
281,Revenue Growth,162,7,19
282,Capacity Expansion,2,0,1
283,Price/Mix Strategy,22,6,6
284,Operating Performance,3,0,1
285,Security Breach,0,0,1
286,Cryptocurrency Impact,0,1,0
287,GPU Market,0,1,0
288,Earnings Call Focus,0,1,0
289,GPU Supply Outlook,0,1,0
290,GPU Pricing,0,1,0
291,Crypto Demand Impact,0,1,0
292,Gaming Demand,1,0,0
293,Crypto Volatility,0,1,0
294,Vaccine Development,2,0,0
295,Safety Profile,2,0,1
296,Dividend Yield,2,0,0
297,Depreciation,0,1,0
298,Sales Channels,2,0,0
299,Logistics Costs,0,0,2
300,SG&A Growth,0,2,1
301,Data Analytics,10,0,0
302,Tax Settlement,0,1,0
303,Earnings Growth,37,4,12
304,Corporate Governance,4,0,2
305,Deposit Growth,3,1,0
306,Transparency,1,0,1
307,Traffic,2,0,0
308,Securities,1,1,0
309,Insurance,2,0,0
310,Government Policies,1,0,0
311,Labor Challenges,1,1,6
312,Security,1,0,0
313,Holiday Sales,3,1,0
314,IT Systems,1,0,0
315,Digital Platforms,1,0,0
316,Executive Changes,0,1,0
317,Innovations,1,0,0
318,Cryptocurrency,2,0,1
319,Transaction Fees,0,0,1
320,Fees,1,1,1
321,Foreign Exchange,0,0,5
322,Exploration,7,0,0
323,Commodities,4,0,10
324,Pension Obligations,1,0,0
325,Volume Leverage,2,0,0
326,Price Shock Absorber,1,0,0
327,SG&A,3,1,8
328,COVID Impact,3,0,6
329,Net Cash,1,0,0
330,Market Performance,13,0,11
331,Fashion Trends,0,0,2
332,Control,1,0,0
333,Interest Expense,0,1,2
334,Investor Concerns,0,0,1
335,Natural Gas,0,0,2
336,Volume,0,0,1
337,Price Impact,4,0,3
338,Margins Expansion,6,1,0
339,Earnings Catalysts,4,0,0
340,Sales Promotion,2,0,0
341,Succession Planning,1,0,0
342,Consumer Trends,1,0,2
343,Travel Industry,1,0,0
344,Digitalization,1,0,0
345,Fintech Partnerships,1,0,0
346,Customer Protection,2,0,2
347,Customer Relationship,3,0,0
348,Market Growth,5,1,0
349,Sales Forecast,0,1,0
350,Execution Risk,0,0,4
351,Energy Transition,4,0,0
352,LNG Pricing,1,0,0
353,Credit Risk,2,1,2
354,Retail Landscape,0,0,1
355,Apparel Recovery,0,0,1
356,Customer Spending,0,0,1
357,Consumer Pressure,0,0,1
358,Cybersecurity,2,0,1
359,Financial Risk,0,0,2
360,Tech Spending,1,1,0
361,Earnings Momentum,0,0,1
362,Contracts,1,0,0
363,Margin Compression,0,0,1
364,Investor Confidence,0,0,2
365,Engineering Talent,0,0,1
366,Fees and Costs,0,1,0
367,Reserve Build,0,1,0
368,Securities Losses,0,0,1
369,Competitors,0,2,0
370,Volume Growth,1,0,1
371,Real Estate,1,0,0
372,Cross-border Transactions,1,0,0
373,Litigation and Regulation,0,0,1
374,Consumer Spending,0,1,0
375,Tax Issues,1,0,0
376,Fee Income,1,0,1
377,Provision Expense,0,0,2
378,Equity,0,0,1
379,Customer Satisfaction,1,0,0
380,Market Recognition,1,0,0
381,Diversity,1,0,0
382,Integration,1,0,0
383,Store Expansion,2,0,0
384,Compliance,0,0,1
