,ID,Argument,Sentiment
161,4,COVID19 Therapies,neutral
162,4,Valuation,negative
163,4,Price Movement,negative
164,4,Use Justification,positive
165,4,Research,neutral
166,4,Efficacy Data,positive
167,4,Company Update,positive
168,4,Deal Impact,neutral
169,4,Downside Risk,negative
170,4,Upside Potential,positive
171,4,Acquisition Terms,positive
172,4,Deals Potential,positive
173,4,Clinical Trials,positive
174,4,Product Development,positive
175,4,Disease Treatment,positive
176,4,Research,positive
177,4,Efficacy,positive
178,4,Efficacy,negative
179,4,Commercial Potential,neutral
180,4,Vaccine Development,negative
181,4,Risk Management,negative
182,4,Regulatory Issues,negative
183,4,Medical Need,positive
184,4,Supply Chain,neutral
185,4,Infection Rate,negative
186,4,Deal Making,neutral
187,4,Mergers and Acquisitions,neutral
188,4,Research Focus,positive
189,4,Business Deals,positive
190,4,Research Development,neutral
191,4,Acquisitions,neutral
192,5,Supply Chain,negative
193,5,Pricing Actions,positive
194,5,FX Outlook,negative
195,5,Cost Management,positive
196,5,Consumer Demand,positive
197,5,Operational Issues,negative
198,5,Sales Growth,positive
199,5,EPS Growth,positive
200,5,Productivity,positive
201,5,Business Model,positive
202,5,Valuation,neutral
203,5,Growth Expectations,positive
204,5,Supply Chain,neutral
205,5,Market Recovery,positive
206,5,Segment Performance,positive
207,5,Marketing and Innovation,positive
208,5,Financial Algorithm,neutral
209,5,Pricing Actions,positive
210,5,Volume Growth,positive
211,5,Supply Conditions,positive
212,5,Cost Management,positive
213,5,Business Model,positive
214,5,Productivity,positive
215,5,Pricing,positive
216,5,Divestiture,positive
217,5,Inflation,negative
218,5,FX Outlook,negative
219,5,Earnings Release,neutral
220,5,Currency Impact,negative
221,5,Revenue Growth,positive
222,5,EPS Growth,positive
223,5,Earnings Guidance,positive
224,5,Organic Growth,positive
225,5,Pricing Actions,positive
226,5,FX Outlook,neutral
227,5,Volume Growth,positive
228,5,Margin Compression,negative
229,5,Pricing Actions,positive
230,5,Productivity,positive
231,5,Inflationary Pressures,negative
232,5,Supply Chain Pressures,negative
233,5,Cost Savings,positive
234,6,Financial Performance,neutral
235,6,Valuation,positive
236,6,Dividend Yield,positive
237,6,Cash Flow,positive
238,6,Operational Efficiency,neutral
239,6,Management Strategy,neutral
240,6,Transaction Structure,neutral
241,6,Share Buyback,positive
242,6,Complexity,negative
243,6,Retail Base,positive
244,6,Valuation,neutral
245,6,Dividend Yield,positive
246,6,Cash Flow,positive
247,6,Capital Expenditure,neutral
248,6,Interest Expense,positive
249,6,EBITDA,positive
250,6,Guidance,positive
251,6,Spectrum Deployment,positive
252,6,Investment,positive
253,6,Network Build,positive
254,6,Competition,negative
255,6,Coverage,neutral
256,6,Cost Management,negative
257,6,Growth Expectations,neutral
258,6,Network Development,neutral
259,6,Financial Performance,neutral
260,6,Earnings Estimates,neutral
261,6,Mergers and Acquisitions,neutral
262,6,Revenue,positive
263,6,Earnings,positive
264,6,Capital Expenditure,negative
265,6,Free Cash Flow,positive
266,6,Dividend,negative
267,6,Subscriber Growth,positive
268,6,Cost Management,neutral
269,6,Build Cycle,positive
270,6,Supply Chain,positive
271,6,Penetration Rates,positive
272,6,Cost Transformation,positive
273,6,Operating Leverage,positive
274,6,EBITDA,positive
275,6,Valuation Method,neutral
276,6,Cash Flow,positive
277,6,Competitive Advantage,positive
278,6,Deleveraging,positive
279,6, Margin Pressure,negative
280,6,5G Coverage,negative
281,6,Share Price,negative
282,6,Dividend Coverage,negative
283,6,Wireless Business,positive
284,6,Business Segments,negative
285,6,Growth Opportunities,positive
286,6,Company Health,positive
287,7,Spend Volumes,neutral
288,7,Cross Border Volumes,neutral
289,7,US Volumes,neutral
290,7,Revenue Growth,negative
291,7,Client Incentives,neutral
292,7,Volume Recovery,positive
293,7,Price Point,neutral
294,7,Transaction Growth,neutral
295,7,Net Revenue,negative
296,7,Value Added Services,positive
297,7,Operating Expenses,neutral
298,7,Earnings Risk,negative
299,7,Border Closings,negative
300,7,Travel Restrictions,negative
301,7,Volatility,negative
302,7,Longterm Story,positive
303,7,Estimate Revisions,negative
304,7,Operating Expenses,positive
305,7,Volume Recovery,negative
306,7,Regulatory Risks,negative
307,7,Litigation Risks,negative
308,7,Competition Risks,negative
309,7,Currency Risks,negative
310,7,Valuation,neutral
311,7,Market Share,positive
312,7,Spend Trends,positive
313,7,Global Environment,negative
314,7,Global Reach,neutral
315,7,Payment Technology,neutral
316,7,Business Model,neutral
317,7,Acquisitions,neutral
318,7,Company History,neutral
319,8,Earnings Outlook,negative
320,8,Stock Performance,negative
321,8,Risk Assessment,neutral
322,8,Pricing,neutral
323,8,Return Performance,positive
324,8,Rating,negative
325,8,Market Performance,neutral
326,8,Product Quality,positive
327,8,Market Expectation,neutral
328,8,Upside Risk,neutral
329,8,Revenue Growth,positive
330,8,Pricing Strategy,negative
331,8,Market Competition,negative
332,8,Customer Base,positive
333,8,Demographic Trends,negative
334,8,Wearable Products,positive
335,8,Market Fit,positive
336,8,Payment Technology,positive
337,8,Product Concept,neutral
338,8,Market Share,negative
339,8,Wearable Products,negative
340,8,Competitor Products,negative
341,8,Credit Card Utilization,negative
342,8,Digital Payments,negative
343,8,Valuation,neutral
344,8,Earnings Estimate,neutral
345,8,Technology Landscape,neutral
346,8,Company Size,neutral
347,8,Market Risks,negative
348,8,Revenue,neutral
349,8,Gross Margin,neutral
350,8,Tax Rate,neutral
351,8,Other Income,neutral
352,8,Operating Expense,neutral
353,8,Cash Position,positive
354,8,Debt Levels,neutral
355,8,Earnings,neutral
356,8,Revenue,neutral
357,8,Financial Performance,neutral
358,8,Data Source,neutral
359,8,Financial Calendar,neutral
360,8,Financial Data,neutral
361,8,Company Documents,neutral
362,8,Financial Data,neutral
363,8,Company Documents,neutral
364,8,Financial Data,neutral
365,8,Company Documents,neutral
366,8,Financial Data,neutral
367,8,Company Documents,neutral
368,8,Company Documents,neutral
369,8,Financial Data,neutral
370,9,Earnings Release,neutral
371,9,Conference Call,neutral
372,9,Revenue,negative
373,9,Operating Income,negative
374,9,EPS,positive
375,9,Programming Expenses,negative
376,9,Profitability,neutral
377,9,Ratings Performance,negative
378,9,Ad Revenue,positive
379,9,Revenue Growth,positive
380,9,EPS Growth,positive
381,9,Media Landscape,positive
382,9,Cable Networks,positive
383,9,Film Studio,positive
384,9,Content Library,positive
385,9,Economic Environment,negative
386,9,Advertising Market,negative
387,9,Content Quality,negative
388,9,Cost Management,negative
389,9,Margin Performance,negative
390,11,Subscriber Growth,positive
391,11,Sub Trends,positive
392,11,Promotion Strategy,positive
393,11,Competition,negative
394,11,Cost Management,negative
395,11,EBITDA Margin,negative
396,11,Accounting,negative
397,11,Industry Trends,positive
398,11,Service Revenue,negative
399,11,Reporting Structure,negative
400,11,Margin Expectations,negative
401,11,Organic Margin,neutral
402,11,Guidance,negative
403,11,Visibility,negative
404,11,Subscribers,positive
405,11,Promotions,positive
406,11,Revenue Growth,positive
407,11,Promotion Strategy,positive
408,11,Competition,neutral
409,11,Performance,neutral
410,11,Subscriber Growth,positive
411,11,Phone Base,neutral
412,11,Product Launch,positive
413,11,Competition,neutral
414,11,Growth Expectations,neutral
415,11,Subscription Impact,negative
416,11,Subscriber Growth,positive
417,11,Subscriber Growth,positive
418,11,Competition,neutral
419,11,Customer Retention,negative
420,11,Phone Churn,negative
421,11,Quarterly Performance,neutral
422,11,Subscriber Growth,positive
423,11,Subscriber Growth,positive
424,11,Contribution to Growth,positive
425,11,Growth Strategy,neutral
426,11,Customer Base,neutral
427,11,Seasonality,neutral
428,11,Net Additions,negative
429,11,Revenue Guidance,negative
430,11,Account Growth,positive
431,11,Revenue Performance,neutral
432,11,Promotions,positive
433,11,ARPU,negative
434,11,ARPA,neutral
435,11,Revenue Growth,positive
436,11,Wholesale Revenue,negative
437,11,Revenue Growth,positive
438,11,Cable MVNO,positive
439,11,Competitive Environment,negative
440,11,Market Launch,positive
441,11,Competitive Pressure,negative
442,11,Product Launch,positive
443,11,Deal Outcome,neutral
444,11,Equipment Revenues,positive
445,11,Promotions,neutral
446,11,Revenue Growth,positive
447,11,Accounting Treatment,neutral
448,11,Accounting Impact,neutral
449,11,Margin Trends,negative
450,11,Service Quality,negative
451,11,Accounting,neutral
452,11,Service Margin,negative
453,11,Wireless Margin,negative
454,11,Market Share,positive
455,11,Upgrade Rates,positive
456,11,Industry Fundamentals,neutral
457,11,Margin Performance,neutral
458,11,Competitive Environment,negative
459,11,Upgrade Rates,negative
460,11,Competition,negative
461,11,Cost Management,negative
462,11,Execution,positive
463,11,Visibility,positive
464,11,Comps,negative
465,11,Reporting Structure,negative
466,11,Wireline Performance,negative
467,11,Earnings Performance,negative
468,11,Growth Outlook,negative
469,11,EBITDA Performance,negative
470,11,Growth Strategy,negative
471,11,Business Performance,negative
472,11,Segmentation,negative
473,11,Wireline Trends,negative
474,11,Segment Performance,negative
475,11,Video Trends,negative
476,11,Pricing Strategy,negative
477,11,Customer Behavior,negative
478,12,Core Business,positive
479,12,U.S. EBIT Growth,positive
480,12,U.S. Comps,positive
481,12,Gross Margin,negative
482,12,Opex,positive
483,12,Sams Results,negative
484,12,International FX,negative
485,12,Techwageprice Investments,negative
486,12,Ecomm Rate Profitability,positive
487,12,Revenue Growth,positive
488,12,Price Investments,positive
489,12,Delivery Rollout,positive
490,12,General Merchandise,positive
491,12,Private Label,positive
492,12,Ecomm Marketplace,positive
493,12,Share Gains,positive
494,12,EPS Growth,positive
495,12,Investment Cycle,positive
496,12,Price Performance,positive
497,12,Earnings,neutral
498,12,Valuation,negative
499,12,Estimates,positive
500,12,Valuation,positive
501,12,Valuation Approach,neutral
502,12,Earnings,positive
503,12,Ecommerce Growth,positive
504,12,Comps,neutral
505,12,Food,neutral
506,12,Tax Rate,neutral
507,12,EPS Guidance,positive
508,12,Inflation,negative
509,12,Consumables,neutral
510,12,Retailing,neutral
511,12,Conflict of Interest,neutral
512,12,Investment Decision,neutral
513,12,Objectivity,neutral
514,12,Research Reports,neutral
515,12,Disclosures,neutral
516,12,Industry View,neutral
517,12,Food Retailing,neutral
518,12,Valuation,positive
519,12,Comps and Traffic,positive
520,12,EPS Growth,positive
521,12,FCF and Dividend Yield,positive
522,12,Cost Management,neutral
523,12,Ecommerce Growth,positive
524,12,Margin Growth,positive
525,12,Cost Management,positive
526,12,Consumer Spending,positive
527,12,Return on Investment,positive
528,12,Cash Flow,positive
529,12,Capital Expenditure,negative
530,12,Balance Sheet,negative
531,12,Ecommerce Contraction,negative
532,12,Valuation,neutral
533,12,Leverage,neutral
534,12,Equity,neutral
535,12,Cash Flow,neutral
536,12,Sales,neutral
537,12,Dividend,neutral
538,12,Debt,neutral
539,12,Valuation Framework,neutral
540,12,ECommerce,neutral
541,12,Business Operations,neutral
542,12,Valuation Methodology,neutral
543,12,Business Operations,neutral
544,12,Valuation,neutral
545,12,Valuation,neutral
546,12,Results,neutral
547,12,Expectations,neutral
548,12,Segment Results,neutral
549,12,Estimates,neutral
550,12,Consensus,neutral
551,13,Sales,positive
552,13,Operating Profit,negative
553,13,Margin,positive
554,13,Gross Margin,neutral
555,13,Guidance,positive
556,13,Comps,positive
557,13,EPS,positive
558,13,Estimates,neutral
559,13,Valuation,neutral
560,13,Guidance,positive
561,13,Sales Growth,positive
562,13,Operating Income,positive
563,13,Tax Rate,neutral
564,13,Earnings Per Share,positive
565,13,Capital Expenditures,neutral
566,13,Gross Margin,neutral
567,13,Supply Chain,neutral
568,13,Ecommerce,positive
569,13,Pricing,positive
570,13,Cost Management,neutral
571,13,Wages,neutral
572,13,Sales,positive
573,13,COVID Costs,negative
574,13,Market Share,positive
575,13,Price Gaps,positive
576,13,Health Wellness,positive
577,13,General Merchandise,negative
578,13,Apparel,positive
579,13,Automotive,positive
580,13,Seasonal Items,positive
581,13,Holiday Sales,positive
582,14,Earnings Report,neutral
583,14,Growth Story,positive
584,14,Investor Expectations,negative
585,14,Stock Performance,negative
586,14,Revenue Growth,negative
587,14,Earnings Beat,positive
588,14,Cost Management,neutral
589,14,Dividend Yield,neutral
590,14,Market Cap,neutral
591,14,Growth Trajectory,positive
592,14,Cash Position,positive
593,14,Payment Volume,positive
594,14,Account Growth,positive
595,14,Digital Payments,positive
596,14,Monetization,positive
597,14,Valuation,neutral
598,14,Transaction Volume,positive
599,14,Payment Growth,positive
600,14,Revenue Growth,positive
601,14,Merchant Services,positive
602,14,Platform Performance,positive
603,14,Partnership Decision,negative
604,14,Partnerships,positive
605,14,Growth Strategy,positive
606,14,Acquisitions,neutral
607,14,Marketing Efforts,positive
608,14,User Engagement,positive
609,14,Volume Growth,positive
610,14,Revenue Growth,positive
611,14,Business Model,neutral
612,14,Growth Strategy,positive
613,14,Customer Engagement,positive
614,14,Transaction Volume,positive
615,14,Growth Prospects,positive
616,14,Financial Performance,neutral
617,14,Valuation,neutral
618,15,EV Strategy,neutral
619,15,Guidance,neutral
620,15,Profitability,negative
621,15,Pricing,neutral
622,15,Timing,negative
623,15,Near Term Focus,negative
624,15,Pension,negative
625,15,Mix,negative
626,15,Production,positive
627,15,Cost Management,positive
628,15,Raw Material Costs,positive
629,15,Price Decline,negative
630,15,Vehicle Mix,negative
631,15,Pension Income,negative
632,15,Investment Costs,negative
633,15,FX,negative
634,15,UAW Contract,negative
635,15,Electrification Strategy,neutral
636,15,Profitability Goals,neutral
637,15,Raw Material Costs,negative
638,15,Profitability,negative
639,15,Pricing,neutral
640,15,Cost Management,neutral
641,15,Guidance,positive
642,15,Margin Expansion,positive
643,15,Sales Growth,positive
644,15,Investor Expectations,neutral
645,15,Market Share,neutral
646,15,Autonomous Technology,positive
647,15,Electric Vehicle Development,positive
648,15,Connected Car Capabilities,positive
649,15,Cost Management,negative
650,15,Regulations,negative
651,15,Pricing,negative
652,15,Input Costs,negative
653,15,Contract Negotiations,negative
654,15,Production,neutral
655,15,Supply Chain Management,negative
656,15,Product Launch,positive
657,15,Technology Expansion,positive
658,16,Taxes,neutral
659,16,Earnings,positive
660,16,Earnings,positive
661,16,Cash Management,negative
662,16,Cash Management,neutral
663,16,Acquisition Strategy,neutral
664,16,Financial Performance,positive
665,16,Management Track Record,positive
666,16,Debt Issuance,negative
667,16,Revenue Growth,positive
668,16,Earnings Growth,positive
669,16,Guidance,positive
670,16,Revenue Guidance,neutral
671,16,Earnings Guidance,neutral
672,16,Financial Projections,neutral
673,16,Revenue Growth,positive
674,16,Segment Margin,positive
675,16,Gross Merchandise Volume,positive
676,16,Active Buyers,positive
677,16,US Growth,positive
678,16,Revenue Growth,positive
679,16,Segment Margin,positive
680,16,Active Accounts,positive
681,16,Net Payments,positive
682,16,Penetration,positive
683,16,User Growth,positive
684,16,Mobile Commerce,positive
685,16,E-Commerce Volume,positive
686,16,Balance Sheet,neutral
687,16,Cash Position,positive
688,16,Debt Levels,negative
689,16,Valuation,neutral
690,17,Digital Commerce,positive
691,17,Fulfillment Capabilities,positive
692,17,Ecommerce Penetration,neutral
693,17,Digital Demand,positive
694,17,Store Operations,positive
695,17,Ecommerce Demand,positive
696,17,Fulfillment Capacity,positive
697,17,Delivery Options,positive
698,17,Comparative Valuations,positive
699,17,Revenue Forecast,positive
700,17,Unit Growth,positive
701,17,Earnings Forecast,positive
702,17,Operational Performance,positive
703,17,Mix Improvement,positive
704,17,Investment Risks,negative
705,17,Valuation Method,neutral
706,17,Competition,negative
707,17,International Expansion,negative
708,17,Business Growth,positive
709,17,Retail Expansion,positive
710,17,Cloud Computing,positive
711,17,Geographic Growth,positive
712,17,Advertising Opportunities,positive
713,17,Services,neutral
714,17,Product Offerings,neutral
715,17,Ecommerce Enablement,neutral
716,17,Technology Infrastructure,neutral
717,17,Revenue Streams,neutral
718,17,Business Segments,neutral
719,18,Production Cuts,negative
720,18,Business Potential,positive
721,18,Investor Day,positive
722,18,EV Strategies,positive
723,18,Connected Car,positive
724,18,Guidance Management,positive
725,18,Operational Efficiency,neutral
726,18,Guidance Cut,neutral
727,18,Supply Issues,negative
728,18,Business Performance,positive
729,18,Supply Chain,negative
730,18,Supply Chain,neutral
731,18,Production Guidance,neutral
732,18,Chip Supply,neutral
733,18,Inventory Levels,negative
734,18,Company Impacts,neutral
735,18,Production Cuts,negative
736,18,Forecasting Challenges,negative
737,18,Supplier Relationships,neutral
738,18,Cost Management,positive
739,18,Warranty,positive
740,18,Quality,positive
741,18,Financial Performance,negative
742,18,Product Mix,positive
743,18,Restructuring,positive
744,18,Warranty Costs,positive
745,18,Supply Chain,neutral
746,18,Supply Chain Management,positive
747,18,Inventory Management,positive
748,18,Online Order System,positive
749,18,Restructuring Actions,negative
750,18,Plant Closures,negative
751,18,Facilities Risk,negative
752,18,International Margins,positive
753,18,Cost Savings,positive
754,18,Electrification Strategy,positive
755,18,Vertical Integration,neutral
756,18,Partnership Strategy,neutral
757,18,Connected Strategy,positive
758,18,Customer Engagement,positive
759,18,Loyalty Benefits,positive
760,18,Marketing Spend,negative
761,18,Turnaround Plan,positive
762,18,Launch Lineup,positive
763,18,Future Trends,positive
764,18,Cost Management,positive
765,18,Connected Features,positive
766,19,Transaction Volume,positive
767,19,Revenue Growth,positive
768,19,Guidance,positive
769,19,Net New Actives,neutral
770,19,Transaction Take Rate,negative
771,19,Hedging,negative
772,19,FX Volatility,neutral
773,19,Bill Pay Volume,neutral
774,19,Revenue Growth,positive
775,19,Transaction Revenue,negative
776,19,Credit Performance,positive
777,19,Operating Profit,positive
778,19,Transaction Expense,negative
779,19,Operating Margin,negative
780,19,EPS Growth,positive
781,19,Revenue Multiple,positive
782,19,Growth Profile,positive
783,19,Valuation,neutral
784,19,Competition,negative
785,19,Funding Costs,negative
786,19,Regulatory Scrutiny,negative
787,19,Security,negative
788,19,Competitive Position,positive
789,19,E Commerce Growth,positive
790,19,Valuation,neutral
791,19,Earnings Growth,positive
792,19,Cash Flow Growth,positive
793,20,Cash Flow,positive
794,20,Profitability,negative
795,20,Turnaround,positive
796,20,Free Cash Conversion,positive
797,20,Topline Growth,positive
798,20,Earnings Growth,positive
799,20,Mix Shift,negative
800,20,Cost Management,positive
801,20,Cash Flow Generation,positive
802,20,Growth Expectations,positive
803,20,Price Performance,neutral
804,20,Organic Growth,positive
805,20,Macroeconomic Pressure,negative
806,20,Innovation,positive
807,20,Execution,positive
808,20,Cash Flow,positive
809,20,Cash Flow,positive
810,20,Forecasts,positive
811,20,Conversion Rate,positive
812,20,Tax Payment,negative
813,20,Dividend,positive
814,20,Guidance,positive
815,20,Conflict of Interest,neutral
816,20,Investment Decision,neutral
817,20,Research Reports,neutral
818,20,Business Operations,neutral
819,20,Disclosures,neutral
820,20,Industry View,neutral
821,20,Transformation,positive
822,20,Cost Management,positive
823,20,Valuation,positive
824,20,Growth,positive
825,20,Margin,positive
826,20,Return,positive
827,20,Cash Position,positive
828,20,Asset Management,positive
829,20,Debt Management,neutral
830,20,Liability Management,neutral
831,20,Equity Management,positive
832,20,Working Capital,positive
833,20,Operational Efficiency,positive
834,20,Capital Expenditure,neutral
835,20,Free Cash Flow,positive
836,20,Valuation Metrics,neutral
837,20,Leverage Metrics,neutral
838,20,FCF Yield,neutral
839,20,Dividend Yield,neutral
840,20,Capital Structure,neutral
841,20,Earnings Report,neutral
842,20,Earnings Comparison,neutral
843,20,Minority Interest,negative
844,20,Hedging Dynamics,negative
845,20,Valuation Methodology,neutral
846,20,Revenue Growth,positive
847,20,Earnings Growth,positive
848,20,Growth Potential,positive
849,20,Valuation,negative
850,20,Earnings Estimate,positive
851,20,Valuation,positive
852,20,Investment Case,neutral
853,20,Fundamental Story,positive
854,20,Growth Struggles,negative
855,20,Turnaround,positive
856,20,Earnings Growth,positive
857,20,Cash Flow,positive
858,20,Challenge,negative
859,20,Consensus Concern,negative
860,20,Profitability,negative
861,20,Business Plan,positive
862,20,Portfolio Management,positive
863,20,Free Cash Flow,positive
864,20,Share Price,positive
865,20,Market Performance,positive
866,20,Growth Expectations,positive
867,20,Cash Flow,positive
868,20,Business Transformation,positive
869,20,Revenue Growth,positive
870,20,Macroeconomic Pressure,negative
871,20,Global Economy,negative
872,20,Innovation,positive
873,20,Execution,positive
874,20,Growth,neutral
875,20,Revenue Growth,positive
876,20,Innovation,positive
877,20,Investments,positive
878,20,Product Launch,positive
879,20,Growth Prospects,positive
880,20,Brand Expansion,positive
881,20,Cash Flow,positive
882,20,Cash Flow,positive
883,20,Conversion Rate,positive
884,20,Dividend,positive
885,20,Sales Growth,positive
886,20,Pricemix,positive
887,20,Organic Growth,positive
888,20,Currency Impact,negative
889,20,Acquisition Growth,positive
890,20,Revenue Growth,positive
891,20,Gross Margins,negative
892,20,Operating Profit,positive
893,20,Top Line Performance,positive
894,20,Currency Performance,negative
895,20,Earnings,positive
896,20,Minority Interest,negative
897,20,Below the Line Items,neutral
898,21,Cloud Computing,positive
899,21,Artificial Intelligence,positive
900,21,Cost Management,neutral
901,21,Growth Trends,positive
902,21,Market Position,positive
903,21,Product Offering,positive
904,21,Earnings,positive
905,21,Revenue,positive
906,21,Performance Obligation,positive
907,21,Business Model,positive
908,21,Consistent Execution,positive
909,21,Billing Growth,positive
910,21,Profitability,positive
911,21,Attrition,neutral
912,21,Platform Expansion,positive
913,21,Service Cloud Growth,positive
914,21,Annual Revenue,positive
915,21,Cloud Strategy,positive
916,21,Process Modernization,positive
917,21,Digital Transformation,positive
918,21,Application Modernization,positive
919,21,Business Model,positive
920,21,Competitive Advantage,positive
921,21,Cloud Services,positive
922,21,Digital Enablement,positive
923,21,Future Growth,positive
924,21,Strategy,positive
925,21,Estimates Guidance,positive
926,21,Revenue Growth,positive
927,21,Operating Margin,positive
928,21,EPS Growth,positive
929,21,Cash Flow Growth,positive
930,21,Revenue Growth,positive
931,21,Operating Margin,positive
932,21,EPS Growth,positive
933,21,Cash Flow Growth,positive
934,21,Valuation Methodology,neutral
935,21,Global Trends,negative
936,21,Executive Departure,negative
937,21,Competitive Pressures,negative
938,21,Acquisition Integration,negative
939,21,Cross Selling,negative
940,21,Growth Expectations,positive
941,21,Market Position,positive
942,21,Product Offering,positive
943,21,Adoption Trends,positive
944,22,Production Start,negative
945,22,Model Changes,neutral
946,22,Convertible Notes,positive
947,22,Cash Settlement,positive
948,22,Dilution,positive
949,22,EPS,positive
950,22,Product Mix,positive
951,22,Guidance,positive
952,22,Revenue,neutral
953,22,Bookings,negative
954,22,Service Provider,negative
955,22,Broadcast and Media,negative
956,23,Global Momentum,positive
957,23,Sales Strength,positive
958,23,Domestic Comps,positive
959,23,Sales Initiatives,positive
960,23,Food Quality,positive
961,23,Sales Growth,positive
962,23,Operating Income,positive
963,23,General Administration,negative
964,23,Sales Growth,positive
965,23,Market Performance,positive
966,23,Dividend Yield,positive
967,23,Comps Performance,positive
968,23,Traffic Trends,negative
969,23,Menu Pricing,negative
970,23,Weather Impact,negative
971,23,Deployment,positive
972,23,System Conversion,positive
973,23,Earnings Estimate,positive
974,23,General Accounting,neutral
975,23,US Comps,neutral
976,23,Foreign Exchange,neutral
977,23,Valuation,neutral
978,23,PE Multiple,neutral
979,23,Sales Trends,positive
980,23,Market Share,positive
981,23,Sales Growth,positive
982,23,Menu Pricing,positive
