,Argument,positive,neutral,negative
312,Digital Expansion,5.0,0.0,0.0
313,Store Optimization,1.0,0.0,0.0
314,Operational Efficiency,9.0,1.0,0.0
315,Corporate Governance,2.0,0.0,4.0
316,Search and Discovery,1.0,0.0,0.0
317,GMS Growth,3.0,0.0,0.0
318,Conversion,1.0,1.0,0.0
319,Market Performance,100.0,23.0,71.0
320,Customer Perception,3.0,0.0,1.0
321,Comparable Sales,3.0,0.0,2.0
322,Interest Costs,0.0,0.0,1.0
323,Integration Costs,0.0,0.0,2.0
324,EPS Growth,3.0,0.0,1.0
325,Accounting Choices,0.0,1.0,1.0
326,User Engagement,10.0,0.0,4.0
327,Volume Growth,11.0,2.0,5.0
328,Non-GAAP Operating Margin,0.0,0.0,2.0
329,Reported EPS,1.0,0.0,0.0
330,EBITDA Growth,12.0,1.0,0.0
331,Gross Bookings,1.0,0.0,0.0
332,Market Data,3.0,5.0,2.0
333,Cash Management,2.0,1.0,1.0
334,Market Demand,45.0,9.0,23.0
335,Compliance,0.0,0.0,3.0
336,Regulatory Approval,10.0,6.0,13.0
337,Market Need,4.0,0.0,2.0
338,Efficacy,11.0,1.0,0.0
339,Clinical Trial Results,5.0,0.0,0.0
340,Treatment Efficacy,29.0,1.0,1.0
341,Drug Tolerance,2.0,1.0,2.0
342,Drug Development,69.0,7.0,14.0
343,Clinical Trials,51.0,19.0,17.0
344,EBITDA Expectations,1.0,3.0,4.0
345,Fixed Costs,2.0,0.0,1.0
346,Reported Earnings,0.0,0.0,1.0
347,Gross Merchandise Sales,1.0,1.0,0.0
348,Industry Position,1.0,1.0,0.0
349,Financial Outlook,6.0,0.0,2.0
350,EBITDA Margin,7.0,7.0,1.0
351,Promotions,3.0,7.0,5.0
352,Brand Performance,3.0,0.0,2.0
353,Earnings Quality,9.0,1.0,1.0
354,Earnings Impact,22.0,9.0,33.0
355,Price Impact,3.0,3.0,4.0
356,Earnings Revision,1.0,0.0,2.0
357,Assets Management,1.0,0.0,0.0
358,Product Launch,57.0,4.0,7.0
359,Category Weakness,0.0,0.0,3.0
360,Market Impact,16.0,7.0,17.0
361,Business Transformation,16.0,2.0,3.0
362,Digital Transformation,13.0,0.0,0.0
363,Digital Capabilities,6.0,0.0,0.0
364,Treatment Tolerance,5.0,0.0,2.0
365,Investment Banking,24.0,5.0,4.0
366,Net Interest Income,41.0,7.0,27.0
367,Labor Market,2.0,1.0,1.0
368,Consumer Sentiment,3.0,1.0,2.0
369,Holiday Spending,3.0,0.0,1.0
370,Black Friday,2.0,0.0,0.0
371,Cyber Monday,1.0,0.0,0.0
372,Business Outlook,5.0,0.0,2.0
373,CEO Sentiment,4.0,0.0,1.0
374,Trade Uncertainty,1.0,0.0,1.0
375,U.S. Elections,1.0,0.0,1.0
376,Loan Growth,28.0,8.0,7.0
377,Real Estate,2.0,1.0,0.0
378,Net Debt,2.0,1.0,2.0
379,Pre-tax income,10.0,0.0,2.0
380,Net income,10.0,0.0,0.0
381,Return On Tangible Common Equity,16.0,6.0,3.0
382,Return On Assets,7.0,2.0,1.0
383,Common Equity Tier 1 Ratio,4.0,4.0,1.0
384,Supplementary Leverage Ratio,2.0,2.0,3.0
385,Margin Expansion,14.0,0.0,0.0
386,Auto Lease Volumes,1.0,0.0,0.0
387,Home Lending,3.0,0.0,3.0
388,Net Servicing Revenue,0.0,0.0,1.0
389,Net Production Revenue,2.0,0.0,0.0
390,Deposit Balances,7.0,0.0,0.0
391,Deposit Fees,2.0,0.0,0.0
392,Strategic Investment,1.0,0.0,0.0
393,Earning Assets,4.0,1.0,1.0
394,Loans,2.0,5.0,0.0
395,Securities,7.0,4.0,2.0
396,Deposits,11.0,1.0,2.0
397,Fed Funds,0.0,0.0,1.0
398,Trading Assets,0.0,1.0,2.0
399,Credit Card,8.0,3.0,3.0
400,Wholesale,2.0,0.0,2.0
401,Net Interest Margin,5.0,1.0,15.0
402,Deposit Costs,1.0,0.0,2.0
403,Interest Rate,5.0,3.0,12.0
404,Loan Loss Reserve,4.0,5.0,6.0
405,Shares Outstanding,5.0,13.0,2.0
406,Free Float,3.0,7.0,0.0
407,CFO,0.0,1.0,0.0
408,Cards,1.0,1.0,1.0
409,ICG,0.0,3.0,2.0
410,Tax Items,0.0,1.0,0.0
411,Loan Loss Provision,3.0,2.0,17.0
412,NCO Ratio,1.0,2.0,2.0
413,NPAs,0.0,1.0,5.0
414,Balance Sheet Growth,1.0,4.0,0.0
415,Fee Income,11.0,1.0,7.0
416,Trading,18.0,2.0,4.0
417,Consumer Strategy,4.0,0.0,1.0
418,Capital Markets,12.0,0.0,2.0
419,Deposit Volumes,1.0,0.0,0.0
420,Non-interest Income,2.0,0.0,0.0
421,Corporate Lending,0.0,0.0,3.0
422,TTS,0.0,0.0,1.0
423,Markets & Securities Services,0.0,0.0,1.0
424,Yield on Earning Assets,0.0,0.0,6.0
425,Cost of Interest-bearing Liabilities,1.0,0.0,4.0
426,Geographic Performance,4.0,0.0,2.0
427,Net Charge-Off Ratio,0.0,3.0,5.0
428,Loan and Deposit Growth,4.0,0.0,0.0
429,Deposit Growth,4.0,1.0,0.0
430,Card Balances,1.0,0.0,2.0
431,Consumer Loans,1.0,1.0,0.0
432,Mortgage Applications,1.0,0.0,0.0
433,Residential Mortgages,2.0,3.0,0.0
434,Small Business Loans,1.0,0.0,0.0
435,Commercial Loans,2.0,0.0,1.0
436,Earning Assets Growth,2.0,0.0,0.0
437,Securities Growth,2.0,0.0,0.0
438,Fed Funds Growth,1.0,0.0,0.0
439,Consumer Loans Growth,1.0,0.0,0.0
440,Mortgage Growth,2.0,0.0,0.0
441,CRE,1.0,1.0,1.0
442,U.S. C&I,1.0,0.0,1.0
443,Leasing,0.0,0.0,3.0
444,Non-U.S. C&I,0.0,0.0,1.0
445,Employee,6.0,7.0,4.0
446,Reserve/Loan Ratio,0.0,2.0,2.0
447,Client Activity,3.0,2.0,0.0
448,Spending,1.0,0.0,0.0
449,Digital Growth,5.0,0.0,1.0
450,Mobile Banking,1.0,0.0,0.0
451,Online Banking,1.0,0.0,0.0
452,Digital Sales,4.0,0.0,0.0
453,Mobile Channel Usage,1.0,0.0,0.0
454,Zelle Payments,1.0,0.0,0.0
455,Digital Appointments,1.0,0.0,0.0
456,Debit Card,1.0,0.0,0.0
457,Loan Balances,2.0,2.0,2.0
458,Client Balances,1.0,0.0,0.0
459,Client Growth,1.0,0.0,0.0
460,Debt Underwriting,5.0,1.0,1.0
461,Equity Underwriting,2.0,0.0,2.0
462,Loan Syndication,0.0,0.0,1.0
463,Leverage,3.0,10.0,5.0
464,Private Equity,1.0,0.0,0.0
465,FDA Approval,11.0,3.0,5.0
466,Cash Position,3.0,0.0,0.0
467,CECL,0.0,1.0,0.0
468,Contract Roll-off,0.0,1.0,0.0
469,Market Comparison,11.0,4.0,3.0
470,OVAS Revenue,0.0,1.0,0.0
471,Total Revenue,0.0,1.0,0.0
472,G&A Leverage,1.0,0.0,0.0
473,Environmental Impact,12.0,1.0,5.0
474,Execution,19.0,0.0,21.0
475,Visibility,0.0,1.0,3.0
476,Gross Margins,16.0,5.0,12.0
477,Investor Concerns,0.0,0.0,8.0
478,Market Competition,15.0,9.0,29.0
479,Culture,1.0,1.0,1.0
480,ROE,1.0,2.0,2.0
481,Gaming Market,5.0,1.0,1.0
482,Auto Ramp,0.0,1.0,1.0
483,GMs,1.0,0.0,0.0
484,Traffic Acquisition Costs,0.0,0.0,3.0
485,Online Sales Growth,3.0,1.0,0.0
486,Pipeline Drugs,3.0,0.0,3.0
487,NKTR-214 Agreement,0.0,1.0,1.0
488,NKTR-181 Loss,0.0,0.0,2.0
489,Onzeald Program Termination,0.0,0.0,2.0
490,Pivotal Data,1.0,1.0,0.0
491,Pipeline,10.0,2.0,4.0
492,Net Cash,1.0,2.0,0.0
493,Corporate Drag,0.0,1.0,1.0
494,Immune Cell Activity,2.0,1.0,0.0
495,Biomarker Data,3.0,1.0,0.0
496,Collaborations,6.0,1.0,0.0
497,Billings Growth,1.0,1.0,0.0
498,CFO Growth,2.0,1.0,0.0
499,Regions,4.0,1.0,0.0
500,Credit Management,2.0,1.0,1.0
501,SG&A Leverage,10.0,1.0,3.0
502,Membership Growth,8.0,2.0,0.0
503,Renewal Rates,1.0,1.0,0.0
504,COVID-19 Impact,19.0,5.0,40.0
505,Brick-and-Mortar,1.0,0.0,4.0
506,Clearance,0.0,1.0,1.0
507,Production Forecast,3.0,3.0,4.0
508,Resource Estimate,2.0,2.0,0.0
509,Well Productivity,0.0,2.0,0.0
510,Rig Count Management,1.0,2.0,0.0
511,Dividends,9.0,5.0,0.0
512,Return On Capital Employed,2.0,2.0,2.0
513,ESG,3.0,3.0,1.0
514,Renewables,2.0,1.0,1.0
515,Carbon Intensity,1.0,1.0,0.0
516,Flaring Intensity Reduction,1.0,1.0,0.0
517,Methane Emissions Reduction,1.0,1.0,0.0
518,Software,1.0,0.0,1.0
519,Data Analysis,5.0,1.0,0.0
520,Capital Adequacy,16.0,1.0,2.0
521,Trading Performance,2.0,0.0,2.0
522,Commercial Banking,2.0,0.0,2.0
523,Trading Results,2.0,1.0,0.0
524,Tangible Book Value,0.0,1.0,0.0
525,CET1 Ratio,0.0,1.0,0.0
526,SLR,0.0,1.0,0.0
527,Reserve Build,0.0,2.0,7.0
528,Volume Related Expenses,1.0,0.0,1.0
529,Markets,0.0,1.0,0.0
530,Credit Quality,20.0,2.0,14.0
531,Loan Quality,9.0,1.0,16.0
532,Trading Account,1.0,0.0,0.0
533,Compensation,1.0,1.0,1.0
534,Advisory,3.0,0.0,0.0
535,Treasury and Trade Solutions,0.0,0.0,1.0
536,Private Equity Sale,0.0,1.0,0.0
537,Asset Sale,7.0,0.0,0.0
538,Political Risks,0.0,0.0,9.0
539,Geographic Risk,0.0,0.0,1.0
540,Video Subscriber Trends,0.0,0.0,1.0
541,Wireless Postpaid Phone Net Adds,1.0,0.0,0.0
542,Content Investments,0.0,0.0,1.0
543,Macro Pressure,0.0,0.0,1.0
544,Vendor Financing,0.0,0.0,1.0
545,Advertising Receivables Securitization,0.0,0.0,1.0
546,Guidance Withdrawal,0.0,0.0,3.0
547,WarnerMedia and DirecTV FCF Impact,0.0,0.0,1.0
548,HBO Max Investment,0.0,0.0,1.0
549,Valuation Floor,1.0,0.0,0.0
550,Business Mix Impact on Cash Flow,0.0,0.0,1.0
551,Content Spend,0.0,0.0,1.0
552,Licensing Revenue,0.0,0.0,1.0
553,Commercialization,0.0,0.0,8.0
554,Operating Ratio,2.0,1.0,0.0
555,Content,2.0,1.0,0.0
556,HBO Max Launch,1.0,0.0,0.0
557,Original Content,1.0,0.0,0.0
558,Film Distribution,0.0,1.0,0.0
559,Global Demand,0.0,0.0,1.0
560,Geopolitical Events,0.0,0.0,1.0
561,Refining Margins,0.0,0.0,2.0
562,Environmental Regulation,0.0,0.0,1.0
563,Capital Budget,0.0,0.0,1.0
564,Regulatory Scrutiny,0.0,0.0,1.0
565,Litigation,1.0,0.0,9.0
566,Disintermediation,0.0,0.0,4.0
567,Currency Movements,0.0,0.0,5.0
568,Volume Expectations,2.0,0.0,0.0
569,Transactions,1.0,2.0,0.0
570,Accounts,1.0,0.0,0.0
571,Yields,1.0,0.0,0.0
572,Scale,5.0,1.0,0.0
573,Merchandising Categories,2.0,0.0,0.0
574,Store Performance,2.0,0.0,3.0
575,Consumer Trends,29.0,5.0,2.0
576,Industry Trends,4.0,1.0,6.0
577,Gross Margin Return on Investment (GMROI),1.0,0.0,2.0
578,Operating Margin Return on Investment (OMROI),1.0,0.0,2.0
579,Earnings Risk,0.0,1.0,4.0
580,Consumer Behavior,8.0,5.0,4.0
581,Earnings Reaction,2.0,1.0,0.0
582,Diluted shares,0.0,0.0,2.0
583,Customer Response,2.0,1.0,0.0
584,Digital Performance,2.0,0.0,0.0
585,Credit,1.0,1.0,1.0
586,Credit Disruptions,0.0,0.0,2.0
587,Omnichannel,2.0,0.0,1.0
588,Millennial Customers,1.0,0.0,1.0
589,Business Fundamentals,1.0,0.0,2.0
590,Vaccine Efficacy,4.0,0.0,0.0
591,Mortgage Activity,1.0,0.0,1.0
592,Investor Relations,2.0,1.0,0.0
593,Corporate Social Responsibility,1.0,0.0,0.0
594,Loan Demand,0.0,3.0,0.0
595,Industry Mix,0.0,1.0,0.0
596,Equities,1.0,2.0,1.0
597,FICC,3.0,0.0,0.0
598,Underwriting,1.0,0.0,0.0
599,Advisory/M&A,0.0,1.0,1.0
600,Lending,2.0,1.0,0.0
601,Equity Capital Markets,2.0,0.0,0.0
602,Loan Fees,0.0,0.0,1.0
603,High Yield,1.0,0.0,0.0
604,Investment Grade,1.0,1.0,0.0
605,Equity Proceeds,1.0,0.0,0.0
606,Follow-ons,1.0,0.0,0.0
607,Converts,1.0,0.0,0.0
608,IPOs,1.0,0.0,0.0
609,M&A Deal Value,1.0,0.0,0.0
610,Loan Issuance,0.0,0.0,1.0
611,Leverage Loans,0.0,0.0,1.0
612,Debt Issuance,1.0,0.0,0.0
613,Equity Issuance,1.0,0.0,1.0
614,M&A,0.0,0.0,1.0
615,Loan Proceeds,0.0,0.0,1.0
616,Traffic Acquisition,2.0,0.0,0.0
617,Earnings Update,1.0,1.0,0.0
618,Capital Return,3.0,0.0,0.0
619,Recurring Revenue,4.0,0.0,0.0
620,Strategy,3.0,0.0,0.0
621,Digital Innovation,26.0,0.0,0.0
622,Brand Strength,11.0,0.0,0.0
623,Retail Environment,4.0,0.0,4.0
624,Sales and EPS Estimates,1.0,0.0,0.0
625,High School Sports Concern,0.0,0.0,1.0
626,Vaccine Development,6.0,0.0,1.0
627,Pipeline Assets,2.0,0.0,0.0
628,Market Reaction,1.0,1.0,2.0
629,Business Development,2.0,2.0,0.0
630,Reinvestment,2.0,0.0,0.0
631,EBIT Growth,3.0,0.0,1.0
632,Regulatory Risks,0.0,0.0,4.0
633,Legislation Risks,0.0,0.0,3.0
634,Ad Targeting Limitations,0.0,0.0,3.0
635,Digital Advertising Market Maturation,0.0,0.0,3.0
636,Platform Security,0.0,0.0,4.0
637,Privacy Issues,0.0,1.0,2.0
638,Asset Quality,0.0,1.0,2.0
639,Loan Portfolio,3.0,5.0,9.0
640,Energy Exposure,0.0,1.0,2.0
641,Geographic Exposure,0.0,2.0,1.0
642,Litigation Concerns,0.0,0.0,4.0
643,Global Economy,1.0,2.0,5.0
644,Recession,0.0,0.0,2.0
645,Leverage Metrics,0.0,11.0,1.0
646,Customer Support,5.0,0.0,1.0
647,Financial Assistance,3.0,1.0,0.0
